DeviceID,SoftwareID,Version,InstalledDate,SourceSystem,ComplianceStatus
DEV-00424,SW008,15.4,2024-12-29,ServiceNow,Compliant
DEV-00424,SW002,1.0,2024-11-13,Intune,Compliant
DEV-00424,SW009,2.5,2025-05-24,ServiceNow,Non-Compliant
DEV-00114,SW001,8.0.421,2024-06-15,Tanium,Compliant
DEV-00114,SW007,15.4,2024-11-20,Tanium,Non-Compliant
DEV-00114,SW004,24.1,2024-12-29,Intune,Compliant
DEV-00114,SW002,24.1,2024-06-08,Tanium,Compliant
DEV-00114,SW005,8.0.421,2024-07-18,Intune,Compliant
DEV-00114,SW008,8.0.421,2023-11-19,Tanium,Compliant
DEV-00114,SW010,2.5,2024-04-19,Tanium,Compliant
DEV-00212,SW010,15.4,2023-02-12,Tanium,Compliant
DEV-00212,SW001,2.5,2024-03-21,ServiceNow,Compliant
DEV-00212,SW002,8.0.421,2023-05-12,JAMF,Compliant
DEV-00212,SW004,1.0,2023-07-04,JAMF,Compliant
DEV-00142,SW001,8.0.421,2025-11-30,Tanium,Compliant
DEV-00142,SW010,15.4,2025-03-17,Intune,Compliant
DEV-00142,SW004,126.0,2026-01-09,JAMF,Compliant
DEV-00142,SW009,2.5,2025-05-29,Intune,Non-Compliant
DEV-00142,SW007,126.0,2025-07-01,JAMF,Non-Compliant
DEV-00478,SW002,15.4,2026-05-29,ServiceNow,Compliant
DEV-00478,SW005,24.1,2026-04-07,Tanium,Compliant
DEV-00478,SW007,8.0.421,2026-01-29,Intune,Non-Compliant
DEV-00478,SW010,15.4,2026-10-12,JAMF,Compliant
DEV-00273,SW010,1.0,2023-06-04,JAMF,Compliant
DEV-00273,SW002,2.5,2023-10-07,Intune,Compliant
DEV-00273,SW008,24.1,2023-08-25,Tanium,Compliant
DEV-00273,SW007,2.5,2024-02-27,ServiceNow,Non-Compliant
DEV-00295,SW004,15.4,2025-06-21,JAMF,Compliant
DEV-00295,SW003,15.4,2025-01-08,Intune,Compliant
DEV-00295,SW001,2.5,2025-02-04,Intune,Compliant
DEV-00295,SW008,8.0.421,2024-08-27,JAMF,Compliant
DEV-00455,SW010,15.4,2023-01-11,Intune,Compliant
DEV-00455,SW005,1.0,2022-06-12,Intune,Compliant
DEV-00455,SW003,1.0,2022-09-19,ServiceNow,Compliant
DEV-00455,SW009,1.0,2023-07-06,Intune,Non-Compliant
DEV-00455,SW002,2.5,2023-03-17,Tanium,Compliant
DEV-00455,SW007,15.4,2022-08-22,JAMF,Non-Compliant
DEV-00119,SW007,24.1,2024-10-26,JAMF,Non-Compliant
DEV-00119,SW001,15.4,2024-09-22,Intune,Compliant
DEV-00119,SW003,24.1,2024-08-19,JAMF,Compliant
DEV-00119,SW008,2.5,2025-07-06,JAMF,Compliant
DEV-00119,SW004,1.0,2025-09-21,Tanium,Compliant
DEV-00432,SW005,15.4,2024-04-29,ServiceNow,Compliant
DEV-00432,SW001,126.0,2023-10-05,Tanium,Compliant
DEV-00432,SW004,126.0,2023-09-09,JAMF,Compliant
DEV-00432,SW003,1.0,2024-02-28,ServiceNow,Compliant
DEV-00432,SW002,8.0.421,2024-10-25,ServiceNow,Compliant
DEV-00432,SW008,15.4,2024-06-02,JAMF,Compliant
DEV-00193,SW001,15.4,2025-03-29,Tanium,Compliant
DEV-00193,SW010,15.4,2025-01-11,ServiceNow,Compliant
DEV-00193,SW004,24.1,2025-02-07,Intune,Compliant
DEV-00193,SW005,2.5,2024-12-09,JAMF,Compliant
DEV-00043,SW003,8.0.421,2022-05-24,Intune,Compliant
DEV-00043,SW004,8.0.421,2021-12-20,ServiceNow,Compliant
DEV-00043,SW009,2.5,2022-09-30,Intune,Non-Compliant
DEV-00043,SW010,8.0.421,2021-11-03,JAMF,Compliant
DEV-00043,SW007,126.0,2022-03-24,Tanium,Non-Compliant
DEV-00043,SW002,1.0,2022-02-18,Intune,Compliant
DEV-00043,SW001,24.1,2021-11-22,Intune,Compliant
DEV-00043,SW006,1.0,2021-12-08,Tanium,Compliant
DEV-00237,SW006,2.5,2027-03-23,JAMF,Compliant
DEV-00237,SW007,2.5,2026-11-12,ServiceNow,Non-Compliant
DEV-00237,SW002,15.4,2026-09-20,ServiceNow,Compliant
DEV-00237,SW005,2.5,2026-06-28,Intune,Compliant
DEV-00237,SW004,2.5,2026-08-18,ServiceNow,Compliant
DEV-00162,SW008,8.0.421,2025-01-30,Intune,Compliant
DEV-00162,SW007,126.0,2024-08-20,JAMF,Non-Compliant
DEV-00162,SW001,1.0,2024-04-05,JAMF,Compliant
DEV-00162,SW003,8.0.421,2024-09-03,ServiceNow,Compliant
DEV-00162,SW009,126.0,2024-08-12,JAMF,Non-Compliant
DEV-00460,SW008,126.0,2024-03-16,ServiceNow,Compliant
DEV-00460,SW005,15.4,2023-08-02,Intune,Compliant
DEV-00460,SW003,2.5,2023-09-03,Intune,Compliant
DEV-00460,SW001,1.0,2023-12-01,JAMF,Compliant
DEV-00472,SW007,24.1,2024-12-24,Tanium,Non-Compliant
DEV-00472,SW006,8.0.421,2024-12-10,Intune,Compliant
DEV-00472,SW002,8.0.421,2024-12-26,Intune,Compliant
DEV-00472,SW005,2.5,2024-10-18,ServiceNow,Compliant
DEV-00472,SW001,15.4,2025-03-20,ServiceNow,Compliant
DEV-00307,SW003,15.4,2026-03-26,JAMF,Compliant
DEV-00307,SW009,15.4,2027-03-04,Tanium,Non-Compliant
DEV-00307,SW008,126.0,2025-12-20,Intune,Compliant
DEV-00307,SW010,1.0,2026-03-20,ServiceNow,Compliant
DEV-00006,SW005,15.4,2022-08-16,JAMF,Compliant
DEV-00006,SW010,1.0,2021-11-29,JAMF,Compliant
DEV-00006,SW008,8.0.421,2021-11-22,JAMF,Compliant
DEV-00006,SW003,24.1,2021-08-30,Intune,Compliant
DEV-00452,SW006,126.0,2023-12-02,JAMF,Compliant
DEV-00452,SW008,8.0.421,2024-07-11,Tanium,Compliant
DEV-00452,SW007,24.1,2024-08-18,Intune,Non-Compliant
DEV-00452,SW005,24.1,2024-04-12,JAMF,Compliant
DEV-00452,SW002,1.0,2023-12-24,ServiceNow,Compliant
DEV-00452,SW010,126.0,2024-08-18,Tanium,Compliant
DEV-00257,SW001,15.4,2025-03-14,ServiceNow,Compliant
DEV-00257,SW006,8.0.421,2025-02-19,Intune,Compliant
DEV-00257,SW004,24.1,2024-04-19,Tanium,Compliant
DEV-00257,SW010,126.0,2024-01-09,ServiceNow,Compliant
DEV-00257,SW003,1.0,2025-03-08,Intune,Compliant
DEV-00257,SW009,126.0,2024-07-29,Tanium,Non-Compliant
DEV-00257,SW002,1.0,2024-08-10,JAMF,Compliant
DEV-00257,SW007,2.5,2024-10-01,ServiceNow,Non-Compliant
DEV-00263,SW006,1.0,2026-07-26,JAMF,Compliant
DEV-00263,SW002,15.4,2025-08-06,Intune,Compliant
DEV-00263,SW001,126.0,2025-11-20,JAMF,Compliant
DEV-00263,SW007,15.4,2026-02-13,Tanium,Non-Compliant
DEV-00263,SW005,126.0,2025-05-24,Tanium,Compliant
DEV-00321,SW010,126.0,2023-08-12,Intune,Compliant
DEV-00321,SW004,1.0,2024-05-02,Intune,Compliant
DEV-00321,SW007,126.0,2024-07-01,Intune,Non-Compliant
DEV-00321,SW009,24.1,2023-11-05,JAMF,Non-Compliant
DEV-00321,SW006,1.0,2024-03-30,Tanium,Compliant
DEV-00321,SW008,1.0,2023-11-25,Intune,Compliant
DEV-00321,SW002,126.0,2024-03-15,JAMF,Compliant
DEV-00245,SW009,24.1,2026-09-23,ServiceNow,Non-Compliant
DEV-00245,SW007,8.0.421,2026-01-28,Tanium,Non-Compliant
DEV-00245,SW001,1.0,2026-05-08,Tanium,Compliant
DEV-00245,SW004,15.4,2026-03-23,ServiceNow,Compliant
DEV-00245,SW006,126.0,2025-09-15,Tanium,Compliant
DEV-00245,SW008,24.1,2026-05-14,Intune,Compliant
DEV-00354,SW002,24.1,2023-09-01,ServiceNow,Compliant
DEV-00354,SW004,1.0,2023-07-15,Intune,Compliant
DEV-00354,SW006,2.5,2023-08-06,JAMF,Compliant
DEV-00354,SW005,1.0,2022-11-21,ServiceNow,Compliant
DEV-00007,SW006,126.0,2022-10-13,Intune,Compliant
DEV-00007,SW005,8.0.421,2023-07-27,ServiceNow,Compliant
DEV-00007,SW007,126.0,2023-05-22,ServiceNow,Non-Compliant
DEV-00007,SW004,15.4,2023-01-11,JAMF,Compliant
DEV-00031,SW010,15.4,2025-08-23,Tanium,Compliant
DEV-00031,SW003,2.5,2026-02-14,Tanium,Compliant
DEV-00031,SW007,15.4,2026-07-02,Tanium,Non-Compliant
DEV-00031,SW005,15.4,2025-05-18,Intune,Compliant
DEV-00031,SW009,8.0.421,2026-05-06,Tanium,Non-Compliant
DEV-00031,SW008,8.0.421,2025-08-15,Intune,Compliant
DEV-00031,SW001,8.0.421,2025-06-26,Intune,Compliant
DEV-00031,SW004,8.0.421,2026-04-22,JAMF,Compliant
DEV-00444,SW007,126.0,2023-04-29,Tanium,Non-Compliant
DEV-00444,SW010,1.0,2022-05-10,ServiceNow,Compliant
DEV-00444,SW006,15.4,2023-04-26,Tanium,Compliant
DEV-00444,SW001,1.0,2022-04-10,Intune,Compliant
DEV-00080,SW009,1.0,2023-09-19,Intune,Non-Compliant
DEV-00080,SW008,2.5,2024-08-18,Tanium,Compliant
DEV-00080,SW004,126.0,2024-07-20,Tanium,Compliant
DEV-00080,SW002,24.1,2023-11-15,Intune,Compliant
DEV-00080,SW007,8.0.421,2024-03-17,Intune,Non-Compliant
DEV-00080,SW010,8.0.421,2024-08-15,JAMF,Compliant
DEV-00080,SW006,1.0,2024-07-07,JAMF,Compliant
DEV-00189,SW003,15.4,2025-11-28,Intune,Compliant
DEV-00189,SW004,24.1,2025-12-15,Intune,Compliant
DEV-00189,SW001,2.5,2025-09-27,JAMF,Compliant
DEV-00189,SW005,1.0,2025-10-14,Tanium,Compliant
DEV-00189,SW008,1.0,2025-10-26,ServiceNow,Compliant
DEV-00189,SW009,126.0,2026-04-25,JAMF,Non-Compliant
DEV-00189,SW002,15.4,2026-04-06,Intune,Compliant
DEV-00056,SW003,15.4,2022-12-28,Intune,Compliant
DEV-00056,SW008,15.4,2023-08-21,JAMF,Compliant
DEV-00056,SW005,24.1,2023-07-05,JAMF,Compliant
DEV-00056,SW009,126.0,2023-03-26,ServiceNow,Non-Compliant
DEV-00056,SW006,24.1,2023-04-07,Intune,Compliant
DEV-00056,SW007,126.0,2023-10-31,ServiceNow,Non-Compliant
DEV-00056,SW010,8.0.421,2023-06-27,Intune,Compliant
DEV-00271,SW003,15.4,2023-04-02,ServiceNow,Compliant
DEV-00271,SW010,1.0,2022-04-16,Tanium,Compliant
DEV-00271,SW006,126.0,2023-03-25,JAMF,Compliant
DEV-00271,SW007,8.0.421,2023-01-09,Tanium,Non-Compliant
DEV-00285,SW005,24.1,2024-12-13,ServiceNow,Compliant
DEV-00285,SW002,24.1,2024-10-11,JAMF,Compliant
DEV-00285,SW008,24.1,2025-02-17,Intune,Compliant
DEV-00285,SW004,126.0,2024-08-12,JAMF,Compliant
DEV-00285,SW001,1.0,2024-12-07,Tanium,Compliant
DEV-00088,SW004,8.0.421,2022-05-07,Tanium,Compliant
DEV-00088,SW005,24.1,2022-05-18,JAMF,Compliant
DEV-00088,SW008,15.4,2022-04-16,JAMF,Compliant
DEV-00088,SW010,8.0.421,2022-02-08,Tanium,Compliant
DEV-00088,SW007,15.4,2021-04-28,Intune,Non-Compliant
DEV-00088,SW003,1.0,2021-05-26,Intune,Compliant
DEV-00088,SW001,2.5,2021-12-18,Intune,Compliant
DEV-00498,SW004,8.0.421,2023-02-19,Intune,Compliant
DEV-00498,SW005,1.0,2022-11-26,Tanium,Compliant
DEV-00498,SW003,126.0,2023-01-28,JAMF,Compliant
DEV-00498,SW007,1.0,2022-12-02,ServiceNow,Non-Compliant
DEV-00498,SW001,8.0.421,2022-08-16,JAMF,Compliant
DEV-00498,SW010,24.1,2023-09-02,Intune,Compliant
DEV-00057,SW003,24.1,2023-12-16,Intune,Compliant
DEV-00057,SW007,126.0,2023-08-24,JAMF,Non-Compliant
DEV-00057,SW001,126.0,2024-01-21,Intune,Compliant
DEV-00057,SW004,24.1,2024-02-08,ServiceNow,Compliant
DEV-00057,SW010,2.5,2024-05-26,JAMF,Compliant
DEV-00057,SW008,126.0,2023-06-30,ServiceNow,Compliant
DEV-00057,SW005,126.0,2024-04-11,Intune,Compliant
DEV-00057,SW006,15.4,2024-09-02,ServiceNow,Compliant
DEV-00464,SW004,126.0,2024-07-23,Tanium,Compliant
DEV-00464,SW006,1.0,2024-09-04,ServiceNow,Compliant
DEV-00464,SW003,126.0,2025-07-01,JAMF,Compliant
DEV-00464,SW005,126.0,2025-02-09,Intune,Compliant
DEV-00464,SW009,15.4,2024-06-11,Intune,Non-Compliant
DEV-00202,SW004,8.0.421,2021-08-25,Intune,Compliant
DEV-00202,SW008,2.5,2021-09-30,Tanium,Compliant
DEV-00202,SW009,15.4,2021-11-09,Intune,Non-Compliant
DEV-00202,SW007,24.1,2021-08-17,JAMF,Non-Compliant
DEV-00202,SW001,2.5,2022-01-17,ServiceNow,Compliant
DEV-00024,SW001,8.0.421,2026-10-26,Intune,Compliant
DEV-00024,SW006,1.0,2025-12-15,Intune,Compliant
DEV-00024,SW008,126.0,2026-08-20,Intune,Compliant
DEV-00024,SW003,24.1,2026-06-18,Intune,Compliant
DEV-00086,SW010,24.1,2021-07-18,Tanium,Compliant
DEV-00086,SW009,2.5,2022-03-07,Tanium,Non-Compliant
DEV-00086,SW002,1.0,2021-07-22,Intune,Compliant
DEV-00086,SW006,8.0.421,2022-07-20,Tanium,Compliant
DEV-00086,SW001,1.0,2022-09-05,JAMF,Compliant
DEV-00086,SW008,2.5,2022-09-19,Tanium,Compliant
DEV-00086,SW007,126.0,2022-09-27,ServiceNow,Non-Compliant
DEV-00086,SW005,126.0,2021-06-26,Intune,Compliant
DEV-00385,SW001,2.5,2025-09-03,ServiceNow,Compliant
DEV-00385,SW006,24.1,2024-10-07,ServiceNow,Compliant
DEV-00385,SW009,126.0,2025-05-17,ServiceNow,Non-Compliant
DEV-00385,SW002,126.0,2025-11-18,JAMF,Compliant
DEV-00385,SW010,1.0,2024-10-21,ServiceNow,Compliant
DEV-00385,SW005,24.1,2025-03-30,JAMF,Compliant
DEV-00385,SW004,24.1,2024-09-22,Tanium,Compliant
DEV-00167,SW003,24.1,2024-07-15,ServiceNow,Compliant
DEV-00167,SW008,126.0,2023-11-26,ServiceNow,Compliant
DEV-00167,SW005,15.4,2023-10-02,ServiceNow,Compliant
DEV-00167,SW010,126.0,2023-11-15,Intune,Compliant
DEV-00167,SW002,8.0.421,2023-11-02,ServiceNow,Compliant
DEV-00167,SW004,126.0,2024-07-21,Tanium,Compliant
DEV-00167,SW007,126.0,2024-06-03,JAMF,Non-Compliant
DEV-00167,SW009,1.0,2024-01-02,JAMF,Non-Compliant
DEV-00128,SW001,1.0,2024-05-18,JAMF,Compliant
DEV-00128,SW010,126.0,2025-07-19,Tanium,Compliant
DEV-00128,SW004,8.0.421,2024-05-31,JAMF,Compliant
DEV-00128,SW008,126.0,2025-07-21,Tanium,Compliant
DEV-00128,SW007,15.4,2024-12-11,Intune,Non-Compliant
DEV-00128,SW006,1.0,2025-09-12,ServiceNow,Compliant
DEV-00121,SW010,24.1,2023-06-02,JAMF,Compliant
DEV-00121,SW008,2.5,2023-03-23,Intune,Compliant
DEV-00121,SW004,1.0,2023-07-21,Intune,Compliant
DEV-00121,SW007,15.4,2022-04-16,Tanium,Non-Compliant
DEV-00121,SW001,8.0.421,2023-06-02,ServiceNow,Compliant
DEV-00121,SW009,8.0.421,2023-03-06,Intune,Non-Compliant
DEV-00121,SW002,2.5,2022-04-16,Intune,Compliant
DEV-00121,SW005,2.5,2022-04-06,ServiceNow,Compliant
DEV-00491,SW001,8.0.421,2024-01-02,Intune,Compliant
DEV-00491,SW009,1.0,2023-05-01,Tanium,Non-Compliant
DEV-00491,SW002,1.0,2023-06-28,ServiceNow,Compliant
DEV-00491,SW004,2.5,2024-08-19,Tanium,Compliant
DEV-00491,SW008,15.4,2023-12-01,ServiceNow,Compliant
DEV-00150,SW007,8.0.421,2026-10-14,JAMF,Non-Compliant
DEV-00150,SW002,24.1,2025-11-06,JAMF,Compliant
DEV-00150,SW006,24.1,2025-12-16,Tanium,Compliant
DEV-00150,SW005,126.0,2026-03-12,JAMF,Compliant
DEV-00150,SW008,8.0.421,2025-12-18,Tanium,Compliant
DEV-00036,SW003,2.5,2026-04-07,JAMF,Compliant
DEV-00036,SW010,24.1,2025-07-30,JAMF,Compliant
DEV-00036,SW001,126.0,2025-06-15,ServiceNow,Compliant
DEV-00036,SW007,15.4,2025-06-26,JAMF,Non-Compliant
DEV-00036,SW005,15.4,2025-10-24,Intune,Compliant
DEV-00036,SW009,2.5,2025-10-09,Tanium,Non-Compliant
DEV-00036,SW004,8.0.421,2026-06-08,JAMF,Compliant
DEV-00036,SW002,8.0.421,2025-11-20,ServiceNow,Compliant
DEV-00436,SW009,15.4,2025-12-04,JAMF,Non-Compliant
DEV-00436,SW010,8.0.421,2025-12-16,ServiceNow,Compliant
DEV-00436,SW001,2.5,2025-11-17,JAMF,Compliant
DEV-00436,SW004,1.0,2025-11-16,Tanium,Compliant
DEV-00396,SW002,126.0,2023-07-29,Intune,Compliant
DEV-00396,SW004,2.5,2023-12-09,Intune,Compliant
DEV-00396,SW008,24.1,2024-08-15,Tanium,Compliant
DEV-00396,SW007,2.5,2023-06-24,ServiceNow,Non-Compliant
DEV-00396,SW006,126.0,2023-10-17,Intune,Compliant
DEV-00396,SW010,1.0,2024-06-03,ServiceNow,Compliant
DEV-00059,SW005,1.0,2026-05-18,Intune,Compliant
DEV-00059,SW002,2.5,2025-05-16,Intune,Compliant
DEV-00059,SW009,2.5,2025-08-31,Tanium,Non-Compliant
DEV-00059,SW007,24.1,2026-03-30,JAMF,Non-Compliant
DEV-00059,SW004,2.5,2025-11-26,ServiceNow,Compliant
DEV-00059,SW001,8.0.421,2025-11-21,Tanium,Compliant
DEV-00059,SW008,126.0,2025-12-20,JAMF,Compliant
DEV-00059,SW003,15.4,2025-09-28,Intune,Compliant
DEV-00001,SW003,2.5,2022-05-16,ServiceNow,Compliant
DEV-00001,SW006,15.4,2022-10-09,Intune,Compliant
DEV-00001,SW001,2.5,2022-07-04,Tanium,Compliant
DEV-00001,SW005,2.5,2022-12-24,Intune,Compliant
DEV-00001,SW008,8.0.421,2022-12-14,Intune,Compliant
DEV-00458,SW008,8.0.421,2025-02-05,Intune,Compliant
DEV-00458,SW001,8.0.421,2025-05-28,JAMF,Compliant
DEV-00458,SW006,24.1,2024-09-13,Intune,Compliant
DEV-00458,SW002,1.0,2025-06-23,Tanium,Compliant
DEV-00458,SW009,8.0.421,2025-07-22,ServiceNow,Non-Compliant
DEV-00458,SW010,15.4,2025-06-22,ServiceNow,Compliant
DEV-00090,SW005,1.0,2023-10-22,Intune,Compliant
DEV-00090,SW010,1.0,2023-08-24,ServiceNow,Compliant
DEV-00090,SW004,126.0,2023-06-18,Tanium,Compliant
DEV-00090,SW003,15.4,2024-05-24,Tanium,Compliant
DEV-00018,SW006,126.0,2024-02-22,ServiceNow,Compliant
DEV-00018,SW005,2.5,2024-02-12,Tanium,Compliant
DEV-00018,SW010,8.0.421,2023-04-21,Tanium,Compliant
DEV-00018,SW002,8.0.421,2023-07-04,Tanium,Compliant
DEV-00018,SW007,1.0,2023-06-09,Intune,Non-Compliant
DEV-00018,SW003,126.0,2023-12-25,Intune,Compliant
DEV-00018,SW009,8.0.421,2023-09-23,Intune,Non-Compliant
DEV-00038,SW010,24.1,2022-12-30,ServiceNow,Compliant
DEV-00038,SW003,2.5,2023-04-11,Tanium,Compliant
DEV-00038,SW009,126.0,2023-01-28,Tanium,Non-Compliant
DEV-00038,SW005,8.0.421,2023-11-16,Tanium,Compliant
DEV-00038,SW006,15.4,2023-08-11,Tanium,Compliant
DEV-00038,SW002,24.1,2023-01-09,ServiceNow,Compliant
DEV-00038,SW008,2.5,2023-03-08,Tanium,Compliant
DEV-00038,SW007,8.0.421,2023-09-09,Intune,Non-Compliant
DEV-00115,SW003,15.4,2022-08-25,ServiceNow,Compliant
DEV-00115,SW004,2.5,2022-07-27,ServiceNow,Compliant
DEV-00115,SW001,15.4,2022-05-17,JAMF,Compliant
DEV-00115,SW005,126.0,2022-04-17,ServiceNow,Compliant
DEV-00289,SW010,8.0.421,2024-06-30,Intune,Compliant
DEV-00289,SW009,8.0.421,2023-09-06,ServiceNow,Non-Compliant
DEV-00289,SW003,2.5,2023-09-12,Tanium,Compliant
DEV-00289,SW005,2.5,2024-09-27,Tanium,Compliant
DEV-00069,SW001,1.0,2025-04-23,JAMF,Compliant
DEV-00069,SW003,1.0,2026-03-14,Intune,Compliant
DEV-00069,SW004,1.0,2025-07-03,JAMF,Compliant
DEV-00069,SW006,24.1,2026-06-28,JAMF,Compliant
DEV-00037,SW010,126.0,2022-01-27,ServiceNow,Compliant
DEV-00037,SW009,24.1,2022-03-31,ServiceNow,Non-Compliant
DEV-00037,SW007,24.1,2021-10-13,Tanium,Non-Compliant
DEV-00037,SW005,15.4,2022-03-22,Intune,Compliant
DEV-00037,SW003,8.0.421,2022-06-18,JAMF,Compliant
DEV-00211,SW002,15.4,2025-03-17,ServiceNow,Compliant
DEV-00211,SW003,1.0,2025-03-16,Tanium,Compliant
DEV-00211,SW009,24.1,2024-09-23,Intune,Non-Compliant
DEV-00211,SW001,8.0.421,2024-12-28,JAMF,Compliant
DEV-00211,SW005,24.1,2025-01-12,Tanium,Compliant
DEV-00211,SW007,15.4,2024-12-15,Tanium,Non-Compliant
DEV-00211,SW008,8.0.421,2024-12-10,ServiceNow,Compliant
DEV-00211,SW006,126.0,2024-04-17,Tanium,Compliant
DEV-00013,SW002,1.0,2026-03-26,Intune,Compliant
DEV-00013,SW010,8.0.421,2025-08-29,Intune,Compliant
DEV-00013,SW001,2.5,2025-08-10,ServiceNow,Compliant
DEV-00013,SW004,15.4,2025-06-29,Tanium,Compliant
DEV-00013,SW007,1.0,2026-04-03,ServiceNow,Non-Compliant
DEV-00324,SW001,8.0.421,2021-08-01,ServiceNow,Compliant
DEV-00324,SW005,8.0.421,2022-04-06,ServiceNow,Compliant
DEV-00324,SW010,2.5,2021-12-10,JAMF,Compliant
DEV-00324,SW006,2.5,2021-12-02,Tanium,Compliant
DEV-00294,SW002,15.4,2023-06-05,ServiceNow,Compliant
DEV-00294,SW005,126.0,2022-08-17,Tanium,Compliant
DEV-00294,SW009,15.4,2023-04-03,JAMF,Non-Compliant
DEV-00294,SW006,8.0.421,2023-04-10,Intune,Compliant
DEV-00072,SW005,126.0,2026-01-06,JAMF,Compliant
DEV-00072,SW002,24.1,2026-04-23,Tanium,Compliant
DEV-00072,SW007,1.0,2026-01-31,Intune,Non-Compliant
DEV-00072,SW009,24.1,2025-12-08,JAMF,Non-Compliant
DEV-00072,SW001,1.0,2025-06-25,JAMF,Compliant
DEV-00072,SW010,126.0,2025-12-06,Intune,Compliant
DEV-00077,SW006,24.1,2024-12-30,Tanium,Compliant
DEV-00077,SW001,126.0,2025-04-18,Intune,Compliant
DEV-00077,SW007,24.1,2024-11-09,Intune,Non-Compliant
DEV-00077,SW010,2.5,2024-12-11,JAMF,Compliant
DEV-00476,SW004,15.4,2025-07-05,Intune,Compliant
DEV-00476,SW010,2.5,2025-07-24,Intune,Compliant
DEV-00476,SW008,15.4,2024-09-19,JAMF,Compliant
DEV-00476,SW003,1.0,2025-03-22,Intune,Compliant
DEV-00314,SW010,1.0,2022-09-24,Tanium,Compliant
DEV-00314,SW005,1.0,2022-07-12,JAMF,Compliant
