SnapshotDateKey,DeviceID,MissingCriticalPatches,MissingSecurityPatches,DaysSinceLastPatch,ComplianceStatus,SourceSystem,CollectedAt
20260101,DEV-00046,0,2,16,Compliant,Tanium,2026-01-05
20260101,DEV-00047,0,0,35,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00048,2,2,41,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00049,1,0,24,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00050,2,0,1,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00051,2,0,2,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00052,0,0,45,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00053,0,0,12,Compliant,Tanium,2026-01-05
20260101,DEV-00054,0,1,20,Compliant,Tanium,2026-01-04
20260101,DEV-00055,0,0,30,Compliant,Tanium,2026-01-04
20260101,DEV-00056,0,1,38,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00057,2,3,45,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00059,0,0,13,Compliant,Tanium,2026-01-02
20260101,DEV-00060,1,3,44,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00061,0,0,44,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00062,0,0,21,Compliant,Tanium,2026-01-04
20260101,DEV-00063,0,0,16,Compliant,Tanium,2026-01-01
20260101,DEV-00064,0,0,40,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00065,0,0,33,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00066,0,0,0,Compliant,Tanium,2026-01-01
20260101,DEV-00067,1,0,7,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00068,0,0,12,Compliant,Tanium,2026-01-05
20260101,DEV-00069,0,0,25,Compliant,Tanium,2026-01-05
20260101,DEV-00070,0,0,40,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00071,0,1,37,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00072,1,0,4,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00073,0,2,27,Compliant,Tanium,2026-01-03
20260101,DEV-00074,2,0,6,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00075,0,1,39,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00076,0,0,2,Compliant,Tanium,2026-01-01
20260101,DEV-00078,0,1,20,Compliant,Tanium,2026-01-02
20260101,DEV-00079,0,1,40,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00081,0,2,31,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00082,0,2,6,Compliant,Tanium,2026-01-04
20260101,DEV-00083,0,2,40,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00084,0,0,39,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00085,0,0,7,Compliant,Tanium,2026-01-04
20260101,DEV-00086,0,0,13,Compliant,Tanium,2026-01-05
20260101,DEV-00087,0,1,33,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00088,1,1,42,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00089,0,0,31,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00090,0,0,1,Compliant,Tanium,2026-01-04
20260101,DEV-00091,0,1,3,Compliant,Tanium,2026-01-03
20260101,DEV-00092,1,0,9,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00093,1,0,35,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00094,0,2,40,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00096,0,0,12,Compliant,Tanium,2026-01-02
20260101,DEV-00097,0,0,12,Compliant,Tanium,2026-01-05
20260101,DEV-00098,0,2,14,Compliant,Tanium,2026-01-02
20260101,DEV-00099,0,1,6,Compliant,Tanium,2026-01-01
20260101,DEV-00100,0,1,18,Compliant,Tanium,2026-01-02
20260101,DEV-00101,0,0,31,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00102,0,5,31,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00103,0,0,31,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00104,1,0,1,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00105,2,0,28,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00106,0,0,37,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00107,0,0,44,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00108,0,0,31,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00109,0,4,45,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00111,0,0,45,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00112,1,1,27,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00113,0,0,1,Compliant,Tanium,2026-01-03
20260101,DEV-00114,0,0,32,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00115,1,0,34,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00116,0,2,15,Compliant,Tanium,2026-01-03
20260101,DEV-00117,2,1,26,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00118,1,1,11,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00119,0,2,18,Compliant,Tanium,2026-01-02
20260101,DEV-00120,3,0,36,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00121,0,0,9,Compliant,Tanium,2026-01-01
20260101,DEV-00122,0,0,3,Compliant,Tanium,2026-01-01
20260101,DEV-00123,0,0,33,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00124,1,0,42,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00125,0,0,18,Compliant,Tanium,2026-01-02
20260101,DEV-00127,0,4,20,Compliant,Tanium,2026-01-02
20260101,DEV-00128,0,0,4,Compliant,Tanium,2026-01-05
20260101,DEV-00129,0,0,23,Compliant,Tanium,2026-01-05
20260101,DEV-00130,0,1,5,Compliant,Tanium,2026-01-03
20260101,DEV-00131,0,0,42,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00132,0,0,38,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00134,0,0,12,Compliant,Tanium,2026-01-01
20260101,DEV-00135,0,3,44,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00136,0,0,39,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00137,0,3,21,Compliant,Tanium,2026-01-05
20260101,DEV-00138,0,2,31,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00139,1,0,9,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00140,0,1,31,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00141,1,0,14,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00142,2,0,40,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00143,0,1,41,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00144,1,0,27,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00145,1,0,19,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00146,0,0,33,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00147,3,0,33,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00148,0,0,3,Compliant,Tanium,2026-01-03
20260101,DEV-00149,0,1,5,Compliant,Tanium,2026-01-05
20260101,DEV-00150,0,1,36,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00152,0,0,33,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00153,2,0,7,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00154,0,0,6,Compliant,Tanium,2026-01-02
20260101,DEV-00155,0,0,3,Compliant,Tanium,2026-01-04
20260101,DEV-00157,0,4,20,Compliant,Tanium,2026-01-03
20260101,DEV-00158,1,0,41,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00159,0,2,40,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00160,0,0,8,Compliant,Tanium,2026-01-01
20260101,DEV-00162,1,0,26,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00163,0,0,40,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00164,0,0,3,Compliant,Tanium,2026-01-01
20260101,DEV-00165,0,0,38,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00166,0,0,26,Compliant,Tanium,2026-01-04
20260101,DEV-00167,0,0,35,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00169,0,0,14,Compliant,Tanium,2026-01-02
20260101,DEV-00170,3,0,18,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00171,0,4,39,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00172,2,2,37,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00173,0,3,37,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00174,0,0,27,Compliant,Tanium,2026-01-04
20260101,DEV-00175,0,1,43,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00176,0,0,35,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00177,0,0,25,Compliant,Tanium,2026-01-05
20260101,DEV-00178,0,0,36,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00179,1,0,10,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00180,1,1,15,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00182,0,3,11,Compliant,Tanium,2026-01-05
20260101,DEV-00183,0,0,32,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00184,0,2,10,Compliant,Tanium,2026-01-02
20260101,DEV-00185,0,0,3,Compliant,Tanium,2026-01-05
20260101,DEV-00186,1,0,32,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00187,0,0,39,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00188,0,1,44,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00189,1,1,39,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00190,1,0,21,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00191,0,0,35,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00192,0,0,27,Compliant,Tanium,2026-01-05
20260101,DEV-00193,0,0,30,Compliant,Tanium,2026-01-02
20260101,DEV-00194,1,4,22,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00195,0,1,41,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00196,0,0,25,Compliant,Tanium,2026-01-03
20260101,DEV-00197,0,1,12,Compliant,Tanium,2026-01-03
20260101,DEV-00198,1,0,13,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00199,2,2,0,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00200,2,4,20,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00201,0,0,5,Compliant,Tanium,2026-01-03
20260101,DEV-00202,0,1,42,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00203,0,0,12,Compliant,Tanium,2026-01-01
20260101,DEV-00205,0,2,20,Compliant,Tanium,2026-01-02
20260101,DEV-00206,0,1,24,Compliant,Tanium,2026-01-01
20260101,DEV-00207,0,0,44,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00209,0,2,9,Compliant,Tanium,2026-01-04
20260101,DEV-00210,3,1,24,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00211,0,5,44,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00213,1,0,42,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00214,0,0,33,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00215,0,0,22,Compliant,Tanium,2026-01-03
20260101,DEV-00217,0,1,32,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00219,0,0,14,Compliant,Tanium,2026-01-04
20260101,DEV-00220,0,3,25,Compliant,Tanium,2026-01-04
20260101,DEV-00221,0,0,29,Compliant,Tanium,2026-01-05
20260101,DEV-00222,1,0,27,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00223,0,0,10,Compliant,Tanium,2026-01-05
20260101,DEV-00224,0,0,0,Compliant,Tanium,2026-01-05
20260101,DEV-00225,0,0,31,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00226,0,3,45,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00227,1,1,24,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00228,0,0,7,Compliant,Tanium,2026-01-03
20260101,DEV-00229,0,2,24,Compliant,Tanium,2026-01-04
20260101,DEV-00230,0,1,13,Compliant,Tanium,2026-01-03
20260101,DEV-00231,0,0,6,Compliant,Tanium,2026-01-02
20260101,DEV-00232,2,0,45,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00233,0,0,38,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00234,3,0,8,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00235,1,0,16,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00236,0,1,23,Compliant,Tanium,2026-01-02
20260101,DEV-00237,1,0,0,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00238,1,0,30,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00239,0,1,7,Compliant,Tanium,2026-01-04
20260101,DEV-00240,0,1,19,Compliant,Tanium,2026-01-05
20260101,DEV-00241,0,0,17,Compliant,Tanium,2026-01-02
20260101,DEV-00242,0,0,36,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00243,0,0,44,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00244,1,1,19,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00245,0,0,36,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00246,0,0,24,Compliant,Tanium,2026-01-02
20260101,DEV-00249,0,4,36,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00250,1,0,37,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00251,1,0,23,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00252,0,0,10,Compliant,Tanium,2026-01-03
20260101,DEV-00253,0,0,39,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00254,0,2,42,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00255,0,0,9,Compliant,Tanium,2026-01-04
20260101,DEV-00256,0,0,19,Compliant,Tanium,2026-01-04
20260101,DEV-00259,0,1,24,Compliant,Tanium,2026-01-01
20260101,DEV-00260,0,1,28,Compliant,Tanium,2026-01-02
20260101,DEV-00261,0,0,26,Compliant,Tanium,2026-01-03
20260101,DEV-00263,1,0,41,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00264,3,3,26,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00265,0,0,36,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00266,1,2,40,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00267,0,0,15,Compliant,Tanium,2026-01-04
20260101,DEV-00268,0,2,26,Compliant,Tanium,2026-01-01
20260101,DEV-00269,1,3,12,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00271,0,4,12,Compliant,Tanium,2026-01-03
20260101,DEV-00272,0,0,40,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00273,0,0,0,Compliant,Tanium,2026-01-03
20260101,DEV-00274,1,0,17,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00275,0,0,26,Compliant,Tanium,2026-01-03
20260101,DEV-00276,0,0,23,Compliant,Tanium,2026-01-05
20260101,DEV-00277,0,0,37,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00278,0,0,13,Compliant,Tanium,2026-01-01
20260101,DEV-00279,0,2,12,Compliant,Tanium,2026-01-01
20260101,DEV-00281,0,0,32,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00282,0,3,36,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00283,1,0,32,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00284,0,0,0,Compliant,Tanium,2026-01-04
20260101,DEV-00285,1,0,21,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00286,2,0,6,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00287,3,2,18,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00288,0,2,3,Compliant,Tanium,2026-01-03
20260101,DEV-00289,3,0,16,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00290,0,0,20,Compliant,Tanium,2026-01-05
20260101,DEV-00291,0,2,8,Compliant,Tanium,2026-01-04
20260101,DEV-00292,0,0,35,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00293,0,0,32,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00294,0,0,18,Compliant,Tanium,2026-01-01
20260101,DEV-00295,0,1,17,Compliant,Tanium,2026-01-01
20260101,DEV-00296,0,0,42,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00297,1,5,15,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00298,0,0,18,Compliant,Tanium,2026-01-02
20260101,DEV-00299,0,2,36,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00300,0,0,18,Compliant,Tanium,2026-01-03
20260101,DEV-00301,0,0,21,Compliant,Tanium,2026-01-01
20260101,DEV-00302,3,0,2,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00304,0,0,27,Compliant,Tanium,2026-01-05
20260101,DEV-00305,1,0,8,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00306,3,2,18,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00307,0,2,9,Compliant,Tanium,2026-01-01
20260101,DEV-00308,0,1,34,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00309,1,0,43,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00310,0,1,41,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00311,0,0,17,Compliant,Tanium,2026-01-03
20260101,DEV-00312,0,0,15,Compliant,Tanium,2026-01-03
20260101,DEV-00313,0,0,2,Compliant,Tanium,2026-01-03
20260101,DEV-00314,0,5,40,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00315,0,4,26,Compliant,Tanium,2026-01-03
20260101,DEV-00316,0,0,9,Compliant,Tanium,2026-01-05
20260101,DEV-00317,0,2,24,Compliant,Tanium,2026-01-04
20260101,DEV-00318,0,1,27,Compliant,Tanium,2026-01-03
20260101,DEV-00319,0,0,33,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00320,0,0,16,Compliant,Tanium,2026-01-05
20260101,DEV-00321,0,2,18,Compliant,Tanium,2026-01-01
20260101,DEV-00322,0,0,2,Compliant,Tanium,2026-01-04
20260101,DEV-00323,3,2,13,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00324,0,0,14,Compliant,Tanium,2026-01-01
20260101,DEV-00325,0,0,18,Compliant,Tanium,2026-01-03
20260101,DEV-00326,0,1,7,Compliant,Tanium,2026-01-05
20260101,DEV-00328,0,0,23,Compliant,Tanium,2026-01-03
20260101,DEV-00330,0,1,17,Compliant,Tanium,2026-01-01
20260101,DEV-00331,0,0,17,Compliant,Tanium,2026-01-04
20260101,DEV-00333,0,4,25,Compliant,Tanium,2026-01-02
20260101,DEV-00335,1,0,19,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00336,2,0,4,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00337,0,1,23,Compliant,Tanium,2026-01-05
20260101,DEV-00338,0,0,4,Compliant,Tanium,2026-01-01
20260101,DEV-00339,0,1,16,Compliant,Tanium,2026-01-05
20260101,DEV-00340,3,1,39,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00341,0,0,7,Compliant,Tanium,2026-01-02
20260101,DEV-00342,0,0,27,Compliant,Tanium,2026-01-03
20260101,DEV-00343,0,0,17,Compliant,Tanium,2026-01-01
20260101,DEV-00344,0,1,45,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00345,1,0,0,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00347,0,0,21,Compliant,Tanium,2026-01-04
20260101,DEV-00348,1,1,19,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00349,0,2,24,Compliant,Tanium,2026-01-02
20260101,DEV-00351,0,0,8,Compliant,Tanium,2026-01-04
20260101,DEV-00352,0,1,37,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00353,2,4,33,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00354,0,0,13,Compliant,Tanium,2026-01-04
20260101,DEV-00355,1,3,43,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00356,0,0,24,Compliant,Tanium,2026-01-02
20260101,DEV-00357,0,0,24,Compliant,Tanium,2026-01-04
20260101,DEV-00358,1,2,5,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00359,0,0,22,Compliant,Tanium,2026-01-04
20260101,DEV-00360,0,0,20,Compliant,Tanium,2026-01-03
20260101,DEV-00361,1,0,19,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00362,0,0,1,Compliant,Tanium,2026-01-04
20260101,DEV-00363,0,0,21,Compliant,Tanium,2026-01-03
20260101,DEV-00364,0,0,9,Compliant,Tanium,2026-01-05
20260101,DEV-00365,0,0,13,Compliant,Tanium,2026-01-04
20260101,DEV-00366,0,0,37,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00367,2,1,35,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00368,0,2,21,Compliant,Tanium,2026-01-02
20260101,DEV-00369,0,1,18,Compliant,Tanium,2026-01-04
20260101,DEV-00370,1,0,6,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00372,0,0,45,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00373,0,0,32,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00374,0,0,38,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00375,2,4,3,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00376,2,0,19,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00377,0,2,7,Compliant,Tanium,2026-01-04
20260101,DEV-00378,0,0,35,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00379,1,0,32,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00380,0,0,19,Compliant,Tanium,2026-01-03
20260101,DEV-00381,0,1,18,Compliant,Tanium,2026-01-03
20260101,DEV-00382,0,4,2,Compliant,Tanium,2026-01-04
20260101,DEV-00383,0,0,35,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00384,0,1,45,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00385,0,0,4,Compliant,Tanium,2026-01-01
20260101,DEV-00386,0,0,29,Compliant,Tanium,2026-01-05
20260101,DEV-00387,0,0,36,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00388,0,3,22,Compliant,Tanium,2026-01-01
20260101,DEV-00389,0,1,7,Compliant,Tanium,2026-01-04
20260101,DEV-00390,0,2,19,Compliant,Tanium,2026-01-02
20260101,DEV-00391,1,1,23,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00392,1,0,30,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00393,0,1,40,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00394,0,1,45,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00395,1,4,0,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00396,2,0,11,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00397,0,1,8,Compliant,Tanium,2026-01-03
20260101,DEV-00398,0,0,34,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00399,0,0,19,Compliant,Tanium,2026-01-01
20260101,DEV-00400,3,0,25,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00401,2,4,2,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00402,0,1,17,Compliant,Tanium,2026-01-03
20260101,DEV-00403,0,3,24,Compliant,Tanium,2026-01-01
20260101,DEV-00404,1,0,33,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00405,0,0,29,Compliant,Tanium,2026-01-03
20260101,DEV-00406,2,0,25,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00407,0,1,4,Compliant,Tanium,2026-01-02
20260101,DEV-00408,0,0,31,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00409,2,4,16,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00410,0,2,14,Compliant,Tanium,2026-01-03
20260101,DEV-00412,0,0,17,Compliant,Tanium,2026-01-05
20260101,DEV-00413,0,0,39,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00414,0,1,26,Compliant,Tanium,2026-01-04
20260101,DEV-00415,0,0,16,Compliant,Tanium,2026-01-01
20260101,DEV-00416,2,3,38,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00417,0,0,39,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00418,0,0,42,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00419,0,5,18,Compliant,Tanium,2026-01-01
20260101,DEV-00420,0,0,23,Compliant,Tanium,2026-01-01
20260101,DEV-00421,4,5,14,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00422,0,3,31,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00423,0,0,36,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00424,0,0,38,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00425,0,0,28,Compliant,Tanium,2026-01-01
20260101,DEV-00426,0,0,3,Compliant,Tanium,2026-01-04
20260101,DEV-00427,0,1,22,Compliant,Tanium,2026-01-04
20260101,DEV-00428,0,1,13,Compliant,Tanium,2026-01-04
20260101,DEV-00429,0,0,26,Compliant,Tanium,2026-01-03
