record_type,category,v3_command,v4_1_command,v3_parameter,v4_1_parameter,notes,example_v3,example_v4_1
command_parameter_mapping,Installed Apps / MSI,Get-InstalledApplication,Get-ADTApplication,-ApplicationType,-ApplicationType,MSI/EXE classification.,,
command_parameter_mapping,Installed Apps / MSI,Remove-MSIApplications,Uninstall-ADTApplication,-Name,-Name,Uninstall matching application.,,
command_parameter_mapping,Installed Apps / MSI,Remove-MSIApplications,Uninstall-ADTApplication,-ProductCode,-ProductCode,Uninstall by product code.,,
command_parameter_mapping,Installed Apps / MSI,Get-MsiExitCodeMessage,Get-ADTMsiExitCodeMessage,-MsiExitCode,-MsiExitCode,Resolve MSI exit code message.,,
command_parameter_mapping,Installed Apps / MSI,Get-MsiTableProperty,Get-ADTMsiTableProperty,-Path,-Path,MSI path.,,
command_parameter_mapping,Installed Apps / MSI,Get-MsiTableProperty,Get-ADTMsiTableProperty,-Table,-Table,MSI table.,,
command_parameter_mapping,Installed Apps / MSI,Get-MsiTableProperty,Get-ADTMsiTableProperty,-Property,-Property,MSI property.,,
command_parameter_mapping,Installed Apps / MSI,Set-MsiProperty,Set-ADTMsiProperty,-Path,-Path,MSI path.,,
command_parameter_mapping,Installed Apps / MSI,Set-MsiProperty,Set-ADTMsiProperty,-Property,-Property,MSI property.,,
command_parameter_mapping,Installed Apps / MSI,Set-MsiProperty,Set-ADTMsiProperty,-Value,-Value,MSI property value.,,
command_parameter_mapping,Installed Apps / MSI,New-MsiTransform,New-ADTMsiTransform,MSI/MST parameters,MSI/MST parameters,Create transform.,,
command_parameter_mapping,Active Setup / Environment,Set-ActiveSetup,Set-ADTActiveSetup,-StubExePath,-StubExePath,Active Setup command.,,
command_parameter_mapping,Active Setup / Environment,Set-ActiveSetup,Set-ADTActiveSetup,-Arguments,-Arguments,Command arguments.,,
command_parameter_mapping,Active Setup / Environment,Set-ActiveSetup,Set-ADTActiveSetup,-Description,-Description,Active Setup description.,,
command_parameter_mapping,Active Setup / Environment,Set-ActiveSetup,Set-ADTActiveSetup,-Key,-Key,Active Setup key.,,
command_parameter_mapping,Active Setup / Environment,Set-ActiveSetup,Set-ADTActiveSetup,-Version,-Version,Active Setup version.,,
command_parameter_mapping,Active Setup / Environment,Set-ActiveSetup,Set-ADTActiveSetup,-Locale,-Locale,Locale.,,
command_parameter_mapping,Active Setup / Environment,Set-ActiveSetup,Set-ADTActiveSetup,-DisableActiveSetup,-DisableActiveSetup,Disable Active Setup.,,
command_parameter_mapping,Active Setup / Environment,Update-SessionEnvironmentVariables,Update-ADTEnvironmentPsProvider,Usually none,Usually none,Refresh environment provider/session.,,
command_parameter_mapping,Active Setup / Environment,No common v3 equivalent,Set-ADTEnvironmentVariable,N/A,-Name,Environment variable name.,,
command_parameter_mapping,Active Setup / Environment,No common v3 equivalent,Set-ADTEnvironmentVariable,N/A,-Value,Environment variable value.,,
command_parameter_mapping,Active Setup / Environment,Update-Desktop,Update-ADTDesktop,Usually none,Usually none,Refresh desktop/shell.,,
command_parameter_mapping,Active Setup / Environment,Update-GroupPolicy,Update-ADTGroupPolicy,GPUpdate parameters,GPUpdate parameters,Trigger Group Policy update.,,
command_parameter_mapping,SCCM / Updates,Invoke-SCCMTask,Invoke-ADTSCCMTask,SCCM task parameters,SCCM task parameters,Trigger ConfigMgr client action.,,
command_parameter_mapping,SCCM / Updates,Install-SCCMSoftwareUpdates,Install-ADTSCCMSoftwareUpdates,Update parameters,Update parameters,Install ConfigMgr updates.,,
command_parameter_mapping,SCCM / Updates,Install-MSUpdates,Install-ADTMSUpdates,Update parameters,Update parameters,Install Microsoft updates.,,
command_parameter_mapping,SCCM / Updates,Test-MSUpdates,Test-ADTMSUpdates,Update parameters,Update parameters,Test update status.,,
command_parameter_mapping,Utility / Validation,Get-DeferHistory,Get-ADTDeferHistory,Deferral parameters,Deferral parameters,Read deferral history.,,
command_parameter_mapping,Utility / Validation,Set-DeferHistory,Set-ADTDeferHistory,Deferral parameters,Deferral parameters,Write deferral history.,,
command_parameter_mapping,Utility / Validation,Get-FileVersion,Get-ADTFileVersion,File path parameters,File path parameters,Get file version.,,
command_parameter_mapping,Utility / Validation,Get-FreeDiskSpace,Get-ADTFreeDiskSpace,Drive/path parameters,Drive/path parameters,Check disk space.,,
command_parameter_mapping,Utility / Validation,Get-HardwarePlatform,Deprecated,N/A,Avoid,Do not carry forward unless required.,,
command_parameter_mapping,Utility / Validation,Get-LoggedOnUser,Get-ADTLoggedOnUser,User session parameters,User session parameters,Detect logged-on users.,,
command_parameter_mapping,Utility / Validation,Get-PendingReboot,Get-ADTPendingReboot,Usually none,Usually none,Detect pending reboot.,,
command_parameter_mapping,Utility / Validation,Get-UserProfiles,Get-ADTUserProfiles,Profile filter parameters,Profile filter parameters,Enumerate profiles.,,
command_parameter_mapping,Utility / Validation,Get-WindowTitle,Get-ADTWindowTitle,Window title parameters,Window title parameters,Find app windows.,,
command_parameter_mapping,Utility / Validation,Test-Battery,Test-ADTBattery,Battery parameters,Battery parameters,Check battery status.,,
command_parameter_mapping,Utility / Validation,Test-IsMutexAvailable,Test-ADTMutexAvailability,Mutex parameters,Mutex parameters,Test mutex availability.,,
command_parameter_mapping,Utility / Validation,Test-NetworkConnection,Test-ADTNetworkConnection,Network parameters,Network parameters,Test connectivity.,,
command_parameter_mapping,Utility / Validation,Test-PowerPoint,Test-ADTPowerPoint,PowerPoint parameters,PowerPoint parameters,Detect active presentation.,,
command_parameter_mapping,Utility / Validation,Resolve-Error,Resolve-ADTErrorRecord,Error record parameters,Error record parameters,Format error details.,,
command_parameter_mapping,Utility / Validation,Write-Log,Write-ADTLogEntry,-Message,-Message,Write log message.,,
command_parameter_mapping,Utility / Validation,Write-Log,Write-ADTLogEntry,-Severity,-Severity,"Info, warning, error.",,
command_parameter_mapping,Utility / Validation,Write-Log,Write-ADTLogEntry,-Source,-Source,Log source.,,
command_parameter_mapping,DLL / COM / Permissions,Invoke-RegisterOrUnregisterDLL,Invoke-ADTRegSvr32,DLL registration parameters,RegSvr32 parameters,Register/unregister DLL.,,
command_parameter_mapping,DLL / COM / Permissions,Invoke-RegisterOrUnregisterDLL,Register-ADTDll,DLL path parameters,DLL path parameters,Register DLL.,,
command_parameter_mapping,DLL / COM / Permissions,Invoke-RegisterOrUnregisterDLL,Unregister-ADTDll,DLL path parameters,DLL path parameters,Unregister DLL.,,
command_parameter_mapping,DLL / COM / Permissions,Set-ItemPermission,Set-ADTItemPermission,Path/account/permission parameters,Path/account/permission parameters,NTFS permissions.,,
command_parameter_mapping,DLL / COM / Permissions,Send-Keys,Send-ADTKeys,Key input parameters,Key input parameters,Avoid unless no silent install exists.,,
command_parameter_mapping,DLL / COM / Permissions,Invoke-ObjectMethod,Invoke-ADTObjectMethod,Object/method parameters,Object/method parameters,Utility method call.,,
command_parameter_mapping,DLL / COM / Permissions,Get-ObjectProperty,Get-ADTObjectProperty,Object/property parameters,Object/property parameters,Utility property read.,,
command_parameter_mapping,DLL / COM / Permissions,ConvertTo-NTAccountOrSID,ConvertTo-ADTNTAccountOrSID,Account/SID parameters,Account/SID parameters,Convert account/SID.,,
command_parameter_mapping,DLL / COM / Permissions,Get-PEFileArchitecture,Get-ADTPEFileArchitecture,File path parameters,File path parameters,Detect EXE/DLL architecture.,,
command_parameter_mapping,Session / Exit,Exit-Script,Close-ADTSession,-ExitCode,-ExitCode,Close deployment session with exit code.,,
command_parameter_mapping,Session / Exit,Exit-Script,Close-ADTSession,Exit behavior parameters,Exit behavior parameters,Validate package-specific behavior.,,
command_parameter_mapping,Deprecated / Refactor,Set-PinnedApplication,Deprecated,Pinning parameters,Avoid/refactor,OS-version sensitive.,,
command_parameter_mapping,Deprecated / Refactor,Resolve-Parameters,Resolve-ADTBoundParameters,Bound parameter parameters,Bound parameter parameters,Refactor manually.,,
command_parameter_mapping,Deprecated / Refactor,Write-FunctionHeaderOrFooter,Initialize-ADTFunction / Complete-ADTFunction,Function logging parameters,Function lifecycle parameters,Refactor custom functions manually.,,
command_parameter_mapping,Registry,Get-RegistryKey,Get-ADTRegistryKey,N/A,-Path,PSADT 4.1 supports -Path for registry paths where wildcard matching is needed. Prefer -LiteralPath for exact registry keys during direct v3 conversion.,,
