MacDeviceID,DeviceName,UserKey,RegionKey,BUKey,SerialNumber,Model,OSVersion,EnrollmentDate,LastCheckInDate,Status
MAC-00021,MAC-EUW-00021,6566,4,10,C02LO44B2VS,MacBook Pro 16,macOS 15.5,2025-08-23,2026-07-05,Managed
MAC-00022,MAC-SEA-00022,11306,5,5,C024N0ODQLJ,MacBook Pro 14,macOS 15.5,2024-11-05,2026-07-06,Managed
MAC-00023,MAC-USW-00023,3865,2,2,C02RGV7KSHH,iMac 24,macOS 14.7,2024-08-19,2026-07-04,Managed
MAC-00024,MAC-USE-00024,7216,1,5,C02JQHJIJ2P,MacBook Air 13,macOS 15.4,2024-11-03,2026-07-06,Managed
MAC-00025,MAC-EUW-00025,10559,4,2,C02E1UJWH4Y,MacBook Pro 16,macOS 14.7,2025-10-19,2026-07-04,Managed
MAC-00026,MAC-EUN-00026,1414,3,2,C02685PQQLN,MacBook Pro 14,macOS 14.7,2024-08-20,2026-07-06,Managed
MAC-00027,MAC-EUW-00027,2862,4,5,C02G1OW0ZYU,Mac mini,macOS 15.5,2025-06-05,2026-07-05,Managed
MAC-00028,MAC-USW-00028,10060,2,8,C0207K6XCA7,MacBook Pro 14,macOS 15.4,2026-01-31,2026-07-04,Managed
MAC-00029,MAC-USE-00029,9931,1,10,C024AZSUY3A,MacBook Pro 16,macOS 15.5,2025-05-12,2026-07-04,Managed
MAC-00030,MAC-EUW-00030,6325,4,1,C025OOQ6040,MacBook Air 13,macOS 15.5,2024-07-21,2026-07-06,Managed
MAC-00031,MAC-BRS-00031,9155,6,5,C025UNN4EDA,MacBook Pro 16,macOS 15.5,2026-04-25,2026-06-13,Retired
MAC-00032,MAC-EUW-00032,1418,4,5,C02XZQHLXNE,MacBook Air 13,macOS 14.7,2026-06-16,2026-07-07,Managed
MAC-00033,MAC-USE-00033,3652,1,7,C02N0KUUTSO,MacBook Pro 14,macOS 15.4,2024-11-14,2026-07-07,Managed
MAC-00034,MAC-EUW-00034,2378,4,5,C022M3ZWWB1,MacBook Pro 16,macOS 15.4,2025-02-03,2026-06-24,Managed
MAC-00035,MAC-USE-00035,3363,1,3,C02PZOCAE9N,MacBook Pro 14,macOS 15.5,2024-11-04,2026-07-06,Managed
MAC-00036,MAC-EUN-00036,7509,3,1,C02H62C4XJ5,MacBook Pro 16,macOS 14.7,2025-09-07,2026-07-06,Managed
MAC-00037,MAC-EUN-00037,13843,3,3,C02J0GW5K7B,iMac 24,macOS 15.5,2025-07-23,2026-06-24,Managed
MAC-00038,MAC-EUN-00038,5927,3,10,C02129RZIJB,MacBook Pro 16,macOS 15.5,2025-10-02,2026-06-27,Managed
MAC-00039,MAC-EUW-00039,7524,4,1,C026ANQRS5A,MacBook Air 13,macOS 15.4,2026-03-21,2026-07-04,Managed
MAC-00040,MAC-BRS-00040,12308,6,6,C02TARIFCWR,MacBook Air 13,macOS 15.4,2026-03-04,2026-07-06,Managed
MAC-00041,MAC-BRS-00041,1067,6,6,C02MOJBJS2K,iMac 24,macOS 14.7,2025-10-20,2026-06-23,Managed
MAC-00042,MAC-EUW-00042,10265,4,2,C02B0XD1U72,MacBook Air 13,macOS 15.4,2025-11-15,2026-07-04,Lost
MAC-00043,MAC-USE-00043,12660,1,6,C026ANV02QQ,MacBook Pro 16,macOS 13.7,2024-09-15,2026-06-25,Managed
MAC-00044,MAC-BRS-00044,5339,6,4,C02YQO2WCMN,iMac 24,macOS 14.7,2024-09-15,2026-07-04,Managed
MAC-00045,MAC-EUN-00045,1801,3,11,C02CBSH3CZC,MacBook Pro 16,macOS 15.5,2026-01-07,2026-07-04,Managed
MAC-00046,MAC-EUW-00046,6699,4,12,C026ZYVO9FZ,MacBook Pro 14,macOS 15.4,2025-07-18,2026-07-06,Enrollment Pending
MAC-00047,MAC-BRS-00047,1010,6,10,C02EKC7F8IB,iMac 24,macOS 15.5,2025-12-19,2026-05-12,Managed
MAC-00048,MAC-BRS-00048,11315,6,3,C02DRYHMJH8,MacBook Pro 14,macOS 15.5,2025-09-06,2026-06-30,Managed
MAC-00049,MAC-USW-00049,9295,2,10,C0291FE1UIV,MacBook Air 13,macOS 15.5,2026-01-01,2026-07-04,Managed
MAC-00050,MAC-SEA-00050,3605,5,3,C02XLU5ROSW,Mac mini,macOS 15.5,2025-04-13,2026-06-28,Managed
MAC-00051,MAC-USW-00051,608,2,5,C0262RXA8BF,MacBook Pro 14,macOS 15.4,2025-07-02,2026-07-06,Managed
MAC-00052,MAC-EUW-00052,7273,4,8,C02W0VS7V8M,MacBook Pro 16,macOS 15.4,2026-01-16,2026-07-04,Managed
MAC-00053,MAC-BRS-00053,2200,6,3,C02RVLFBXM0,Mac mini,macOS 15.5,2025-12-27,2026-07-04,Managed
MAC-00054,MAC-EUW-00054,1627,4,3,C021O4924WT,Mac mini,macOS 15.5,2025-12-22,2026-07-03,Managed
MAC-00055,MAC-SEA-00055,5233,5,6,C02BA16WSG5,Mac mini,macOS 15.5,2026-04-08,2026-07-06,Managed
MAC-00056,MAC-BRS-00056,3797,6,2,C02H2RCNDX0,MacBook Pro 16,macOS 15.5,2024-12-09,2026-07-06,Managed
MAC-00057,MAC-USE-00057,4252,1,10,C02KLTIA4VQ,MacBook Air 13,macOS 14.7,2025-01-27,2026-07-04,Managed
MAC-00058,MAC-SEA-00058,6738,5,2,C023MERWZV6,Mac mini,macOS 15.5,2024-12-26,2026-07-07,Managed
MAC-00059,MAC-USW-00059,4611,2,10,C022N76JFTR,iMac 24,macOS 15.5,2025-09-27,2026-07-06,Managed
MAC-00060,MAC-USE-00060,5967,1,10,C02B1IZQVAM,Mac mini,macOS 15.5,2024-10-20,2026-07-05,Lost
MAC-00061,MAC-EUN-00061,11544,3,7,C02NYFJVU7O,MacBook Pro 16,macOS 15.4,2025-08-18,2026-07-06,Retired
MAC-00062,MAC-BRS-00062,13763,6,3,C024TA8UBZE,Mac mini,macOS 15.5,2026-06-02,2026-07-05,Managed
MAC-00063,MAC-EUN-00063,7816,3,12,C0290U7GYZB,iMac 24,macOS 15.5,2025-10-19,2026-07-06,Managed
MAC-00064,MAC-USE-00064,6628,1,1,C02370SG438,MacBook Pro 16,macOS 15.4,2026-05-09,2026-07-07,Managed
MAC-00065,MAC-USW-00065,9086,2,9,C02QUYV6P64,MacBook Pro 16,macOS 15.5,2025-06-28,2026-07-05,Managed
MAC-00066,MAC-USE-00066,12409,1,1,C02NR3AVYP3,MacBook Air 13,macOS 15.5,2025-06-18,2026-07-05,Needs Attention
MAC-00067,MAC-EUN-00067,5353,3,11,C023LNZV1GZ,MacBook Pro 14,macOS 15.4,2024-09-26,2026-07-06,Lost
MAC-00068,MAC-EUW-00068,7955,4,10,C0215HDFO0T,MacBook Air 13,macOS 15.4,2026-04-28,2026-07-04,Managed
MAC-00069,MAC-USW-00069,2076,2,6,C02LURHKOM2,MacBook Pro 16,macOS 15.5,2024-08-09,2026-07-07,Managed
MAC-00070,MAC-BRS-00070,10317,6,10,C02DWXJAFLX,iMac 24,macOS 14.7,2026-02-10,2026-07-04,Managed
MAC-00071,MAC-USE-00071,9592,1,10,C0256ZGFTYO,iMac 24,macOS 15.5,2025-12-26,2026-07-05,Managed
MAC-00072,MAC-USW-00072,11811,2,10,C02WO2MVDC1,MacBook Pro 16,macOS 14.7,2026-02-03,2026-07-04,Managed
MAC-00073,MAC-EUW-00073,13996,4,10,C023KY05ZWX,MacBook Air 13,macOS 14.7,2025-02-15,2026-07-06,Managed
MAC-00074,MAC-SEA-00074,13026,5,3,C02H9KSJGOL,MacBook Air 13,macOS 15.5,2025-03-03,2026-07-06,Managed
MAC-00075,MAC-SEA-00075,7040,5,8,C02OZIH7BVX,MacBook Air 13,macOS 15.5,2026-06-04,2026-07-04,Managed
MAC-00076,MAC-USE-00076,12133,1,11,C023YHN5MIH,MacBook Pro 14,macOS 13.7,2025-12-19,2026-07-04,Managed
MAC-00077,MAC-USW-00077,6430,2,8,C021U2SF5IA,iMac 24,macOS 15.5,2025-08-12,2026-07-06,Managed
MAC-00078,MAC-EUN-00078,7522,3,4,C02CW72XHIA,MacBook Pro 14,macOS 15.5,2025-01-05,2026-07-07,Managed
MAC-00079,MAC-SEA-00079,5158,5,11,C028MKXRAUU,iMac 24,macOS 14.7,2025-06-10,2026-07-06,Managed
MAC-00080,MAC-USE-00080,1757,1,7,C02QEBQC7L4,MacBook Pro 16,macOS 15.5,2024-10-03,2026-07-05,Managed
MAC-00081,MAC-USW-00081,4321,2,10,C02JN512K95,Mac mini,macOS 15.5,2026-05-28,2026-06-25,Retired
MAC-00082,MAC-USW-00082,2089,2,5,C02J4X1918Z,iMac 24,macOS 15.4,2025-01-17,2026-07-06,Managed
MAC-00083,MAC-USW-00083,11396,2,7,C028NJ3O862,iMac 24,macOS 15.5,2026-03-09,2026-07-07,Managed
MAC-00084,MAC-BRS-00084,10938,6,1,C02BVZQ8YSC,iMac 24,macOS 15.4,2024-10-13,2026-07-05,Managed
MAC-00085,MAC-USE-00085,6292,1,9,C02ERZ9NBEH,iMac 24,macOS 15.5,2026-03-05,2026-07-05,Enrollment Pending
MAC-00086,MAC-SEA-00086,944,5,6,C02DA5STM2S,MacBook Pro 16,macOS 15.5,2025-02-08,2026-07-06,Managed
MAC-00087,MAC-USE-00087,7296,1,3,C02R1E4U8I9,MacBook Air 13,macOS 13.7,2025-12-28,2026-07-04,Lost
MAC-00088,MAC-EUW-00088,2321,4,2,C02CQZXG6PQ,MacBook Pro 14,macOS 15.4,2024-09-06,2026-07-04,Managed
MAC-00089,MAC-USW-00089,8615,2,3,C02UONKTJ6O,iMac 24,macOS 14.7,2025-12-15,2026-07-05,Needs Attention
MAC-00090,MAC-EUN-00090,1085,3,5,C02IKTI8NKT,MacBook Pro 16,macOS 15.5,2025-11-20,2026-07-06,Managed
MAC-00091,MAC-EUN-00091,970,3,8,C02P1WY4RIB,Mac mini,macOS 15.4,2025-08-26,2026-06-29,Managed
MAC-00092,MAC-EUW-00092,12445,4,9,C02U4XHFK9C,MacBook Air 13,macOS 15.5,2024-11-05,2026-07-06,Managed
MAC-00093,MAC-USE-00093,2424,1,2,C020VLYSQB1,MacBook Pro 16,macOS 15.4,2025-01-28,2026-07-05,Managed
MAC-00094,MAC-USE-00094,13003,1,6,C02OOXUGMSK,MacBook Pro 14,macOS 15.5,2025-04-05,2026-07-04,Managed
MAC-00095,MAC-EUW-00095,5691,4,8,C026OX8XDAU,iMac 24,macOS 14.7,2024-08-08,2026-07-06,Managed
MAC-00096,MAC-EUW-00096,13217,4,7,C02GO0T86XT,MacBook Pro 16,macOS 15.4,2025-09-15,2026-07-07,Managed
MAC-00097,MAC-SEA-00097,11771,5,6,C02ZWTPUIGR,MacBook Pro 16,macOS 15.5,2025-10-10,2026-07-04,Retired
MAC-00098,MAC-USW-00098,12181,2,8,C023P8EMMFQ,MacBook Air 13,macOS 15.5,2025-02-05,2026-07-07,Managed
MAC-00099,MAC-USE-00099,310,1,4,C029ZOBAAD7,MacBook Pro 14,macOS 15.4,2025-03-22,2026-06-04,Retired
MAC-00100,MAC-USE-00100,5692,1,3,C02OX3UIMIG,Mac mini,macOS 15.5,2025-07-15,2026-07-07,Managed
MAC-00101,MAC-EUN-00101,6515,3,5,C02E2KAKNWJ,iMac 24,macOS 15.5,2024-08-22,2026-07-04,Managed
MAC-00102,MAC-SEA-00102,9206,5,5,C02075NSONN,MacBook Pro 14,macOS 14.7,2025-01-01,2026-07-05,Managed
MAC-00103,MAC-EUN-00103,13148,3,11,C023US1YUE1,MacBook Air 13,macOS 13.7,2025-04-03,2026-06-14,Managed
MAC-00104,MAC-BRS-00104,13179,6,4,C02EKLGRQO3,MacBook Pro 14,macOS 15.5,2026-01-01,2026-07-05,Managed
MAC-00105,MAC-USW-00105,12979,2,11,C02OMWSIOY3,MacBook Pro 14,macOS 15.5,2024-12-06,2026-06-16,Managed
MAC-00106,MAC-EUN-00106,11157,3,8,C02J0W43XKB,MacBook Air 13,macOS 15.4,2025-12-01,2026-07-04,Managed
MAC-00107,MAC-EUW-00107,5701,4,9,C02UEKZ9G81,MacBook Pro 16,macOS 15.5,2025-05-10,2026-06-13,Managed
MAC-00108,MAC-EUW-00108,3366,4,1,C021G5LTUXE,MacBook Pro 14,macOS 14.7,2024-10-08,2026-07-06,Managed
MAC-00109,MAC-EUN-00109,7,3,1,C02EBZ78ZZC,MacBook Air 13,macOS 14.7,2025-07-30,2026-07-04,Managed
MAC-00110,MAC-USE-00110,6207,1,5,C022IGMD381,MacBook Pro 16,macOS 15.5,2024-10-03,2026-07-05,Enrollment Pending
MAC-00111,MAC-BRS-00111,5389,6,2,C02S6RRMKOV,MacBook Air 13,macOS 15.5,2024-09-03,2026-07-07,Managed
MAC-00112,MAC-EUN-00112,10385,3,10,C02EYZIRQIZ,MacBook Pro 14,macOS 14.7,2025-08-04,2026-07-04,Managed
MAC-00113,MAC-USE-00113,8097,1,9,C02HPGNUG0O,Mac mini,macOS 15.5,2025-12-20,2026-07-06,Managed
MAC-00114,MAC-SEA-00114,2242,5,7,C02HD59PE84,MacBook Pro 14,macOS 15.4,2026-02-06,2026-06-11,Managed
MAC-00115,MAC-EUW-00115,12950,4,1,C022SH194MF,Mac mini,macOS 15.5,2026-02-08,2026-07-06,Managed
MAC-00116,MAC-USE-00116,4250,1,3,C02MIMQ5FEW,Mac mini,macOS 15.4,2024-09-13,2026-07-05,Managed
MAC-00117,MAC-EUN-00117,4597,3,2,C026K9X7GRQ,MacBook Pro 16,macOS 15.5,2025-09-14,2026-07-06,Managed
MAC-00118,MAC-EUN-00118,6134,3,3,C02R4QJNWNW,iMac 24,macOS 15.5,2026-06-13,2026-07-06,Managed
MAC-00119,MAC-BRS-00119,5723,6,4,C029HLJ1D5S,iMac 24,macOS 15.5,2025-09-06,2026-07-07,Managed
MAC-00120,MAC-EUN-00120,5203,3,6,C02I7MSCTG5,MacBook Pro 14,macOS 15.5,2026-01-10,2026-07-07,Managed
MAC-00121,MAC-EUW-00121,100,4,10,C02BHS5FF10,MacBook Air 13,macOS 14.7,2024-07-28,2026-07-04,Managed
MAC-00122,MAC-SEA-00122,8940,5,4,C02ZC791JYO,iMac 24,macOS 13.7,2024-12-03,2026-07-06,Managed
MAC-00123,MAC-EUW-00123,12896,4,5,C02SNV12XDJ,Mac mini,macOS 15.5,2025-04-04,2026-07-06,Managed
MAC-00124,MAC-EUN-00124,9300,3,3,C025PPWX14M,Mac mini,macOS 15.5,2025-12-18,2026-07-06,Managed
MAC-00125,MAC-USE-00125,8689,1,4,C02UEHK351K,MacBook Pro 16,macOS 15.4,2026-04-19,2026-07-04,Managed
MAC-00126,MAC-EUW-00126,811,4,9,C02DAYFYY5G,MacBook Pro 14,macOS 13.7,2025-02-21,2026-07-04,Needs Attention
MAC-00127,MAC-EUW-00127,6388,4,9,C02UDRB5W19,MacBook Pro 14,macOS 15.5,2025-04-06,2026-07-07,Managed
MAC-00128,MAC-USW-00128,3172,2,6,C02PV1XHJ7M,MacBook Air 13,macOS 15.4,2026-02-09,2026-07-05,Managed
MAC-00129,MAC-SEA-00129,13215,5,2,C02PQRJQS6Y,MacBook Air 13,macOS 15.4,2025-05-13,2026-07-05,Managed
MAC-00130,MAC-USW-00130,9272,2,2,C02C40TLSNW,MacBook Pro 16,macOS 15.4,2025-11-13,2026-07-05,Managed
MAC-00131,MAC-EUN-00131,5212,3,5,C02JWWA8ZBZ,Mac mini,macOS 15.4,2025-09-29,2026-07-07,Managed
MAC-00132,MAC-EUW-00132,3711,4,5,C02T4Z6AKR2,iMac 24,macOS 15.5,2026-05-29,2026-07-04,Managed
MAC-00133,MAC-EUW-00133,4586,4,12,C02XN9A4JMI,Mac mini,macOS 15.5,2024-07-24,2026-06-23,Managed
MAC-00134,MAC-EUN-00134,11662,3,4,C02XAW6I7B0,MacBook Pro 16,macOS 15.5,2025-08-26,2026-07-05,Managed
MAC-00135,MAC-BRS-00135,9842,6,12,C02SMXQTPF3,iMac 24,macOS 15.4,2025-12-30,2026-07-07,Managed
MAC-00136,MAC-EUW-00136,12676,4,4,C02SYQ05PWS,iMac 24,macOS 15.4,2025-08-16,2026-07-04,Managed
MAC-00137,MAC-EUN-00137,2868,3,3,C02811PEIGN,MacBook Air 13,macOS 15.4,2026-04-04,2026-07-05,Managed
MAC-00138,MAC-USW-00138,1746,2,8,C02NZQG7NOF,MacBook Pro 14,macOS 15.5,2026-01-17,2026-07-07,Managed
MAC-00139,MAC-EUN-00139,6804,3,3,C027IYJ4MR7,MacBook Pro 16,macOS 15.5,2025-03-07,2026-07-05,Managed
MAC-00140,MAC-EUW-00140,9696,4,3,C02JWG6WYB9,iMac 24,macOS 15.5,2026-01-19,2026-06-28,Managed
MAC-00141,MAC-USE-00141,7507,1,1,C02Y1K47VR5,MacBook Pro 14,macOS 14.7,2026-03-03,2026-07-07,Managed
MAC-00142,MAC-EUW-00142,13217,4,7,C02WAVMUXIL,Mac mini,macOS 15.4,2025-09-04,2026-06-24,Managed
MAC-00143,MAC-USW-00143,248,2,7,C02VZ0JV7R6,MacBook Air 13,macOS 14.7,2026-04-24,2026-05-22,Managed
MAC-00144,MAC-SEA-00144,5643,5,3,C02BWN2MCLN,MacBook Pro 16,macOS 15.5,2025-11-08,2026-05-21,Managed
MAC-00145,MAC-USE-00145,759,1,11,C02X8PL62LC,Mac mini,macOS 14.7,2025-11-26,2026-07-05,Needs Attention
MAC-00146,MAC-SEA-00146,9981,5,3,C02U7OO8SFA,Mac mini,macOS 14.7,2025-08-09,2026-07-07,Managed
MAC-00147,MAC-BRS-00147,12050,6,11,C020SS1145C,MacBook Air 13,macOS 15.4,2026-04-28,2026-07-06,Managed
MAC-00148,MAC-USW-00148,9375,2,4,C02LZCIB0J7,MacBook Pro 14,macOS 13.7,2024-08-13,2026-07-04,Managed
MAC-00149,MAC-USW-00149,9118,2,6,C02747S40XK,Mac mini,macOS 15.5,2025-07-30,2026-07-06,Managed
MAC-00150,MAC-USW-00150,3990,2,2,C02UMWVL5CC,MacBook Pro 16,macOS 15.4,2025-02-02,2026-07-07,Managed
MAC-00151,MAC-EUN-00151,7,3,1,C02VIAGC3X3,Mac mini,macOS 14.7,2025-05-05,2026-07-06,Managed
MAC-00152,MAC-USE-00152,7118,1,12,C02CZD84LMQ,Mac mini,macOS 15.5,2024-11-28,2026-07-04,Managed
MAC-00153,MAC-USW-00153,6623,2,9,C02B9NZIGG2,Mac mini,macOS 15.4,2024-08-10,2026-07-05,Needs Attention
MAC-00154,MAC-USE-00154,4963,1,8,C02OITZFAT6,MacBook Pro 14,macOS 14.7,2024-07-31,2026-07-04,Managed
MAC-00155,MAC-BRS-00155,5956,6,8,C02N4VXKPL6,MacBook Air 13,macOS 15.5,2026-01-12,2026-07-03,Managed
MAC-00156,MAC-EUN-00156,2314,3,10,C02SHV0ZQQB,Mac mini,macOS 15.5,2024-08-12,2026-07-05,Managed
MAC-00157,MAC-BRS-00157,2523,6,10,C0281ZEBEKD,MacBook Pro 14,macOS 15.5,2026-01-04,2026-07-05,Managed
MAC-00158,MAC-SEA-00158,11127,5,11,C02X7OV61N9,iMac 24,macOS 15.5,2025-06-12,2026-07-07,Managed
MAC-00159,MAC-USW-00159,6109,2,10,C02VAD6YHDE,MacBook Pro 14,macOS 15.4,2025-01-27,2026-07-04,Managed
MAC-00160,MAC-EUN-00160,11884,3,8,C023ARU3LFC,Mac mini,macOS 15.4,2026-06-24,2026-06-16,Managed
MAC-00161,MAC-EUN-00161,3273,3,1,C02K4FSHOKD,Mac mini,macOS 15.4,2026-02-20,2026-07-06,Enrollment Pending
MAC-00162,MAC-SEA-00162,13026,5,3,C028TZ90D8W,iMac 24,macOS 15.5,2025-05-08,2026-07-04,Managed
MAC-00163,MAC-BRS-00163,6830,6,12,C02R5ZSZ58D,MacBook Pro 14,macOS 13.7,2026-03-12,2026-07-05,Managed
MAC-00164,MAC-USE-00164,3384,1,3,C02SMDNZULF,iMac 24,macOS 14.7,2025-02-13,2026-07-06,Managed
MAC-00165,MAC-EUN-00165,9249,3,1,C02SW5UPQ7M,MacBook Pro 14,macOS 15.5,2025-03-26,2026-07-04,Managed
MAC-00166,MAC-BRS-00166,7444,6,7,C0286GVB7UO,Mac mini,macOS 15.4,2025-01-17,2026-07-03,Managed
MAC-00167,MAC-SEA-00167,123,5,2,C02W37VPRJY,MacBook Pro 16,macOS 14.7,2026-05-21,2026-07-03,Managed
MAC-00168,MAC-EUN-00168,4038,3,10,C022ME969DA,MacBook Pro 14,macOS 15.5,2025-03-28,2026-07-05,Managed
MAC-00169,MAC-EUN-00169,3989,3,7,C02ULC1LQ2O,Mac mini,macOS 15.5,2025-01-26,2026-07-07,Managed
MAC-00170,MAC-EUN-00170,10443,3,4,C02YC3Q7HGZ,Mac mini,macOS 15.5,2025-11-03,2026-07-07,Managed
MAC-00171,MAC-EUW-00171,9253,4,12,C0257PAONCD,MacBook Pro 16,macOS 15.5,2025-10-28,2026-07-06,Managed
MAC-00172,MAC-USE-00172,9020,1,8,C025JIF9ONR,MacBook Air 13,macOS 15.5,2025-01-24,2026-07-06,Managed
MAC-00173,MAC-USE-00173,6181,1,2,C025QK5FNY4,iMac 24,macOS 15.5,2025-09-14,2026-07-07,Managed
MAC-00174,MAC-EUW-00174,4183,4,2,C02GW3ZW7MY,Mac mini,macOS 15.4,2026-01-26,2026-07-04,Managed
MAC-00175,MAC-USE-00175,12300,1,11,C02Z032393Y,MacBook Pro 14,macOS 15.5,2024-07-20,2026-07-05,Managed
MAC-00176,MAC-USW-00176,10904,2,4,C02GBL26NCO,iMac 24,macOS 15.5,2025-06-29,2026-07-04,Managed
MAC-00177,MAC-EUW-00177,8772,4,3,C029FQSQT1I,MacBook Air 13,macOS 15.5,2024-07-26,2026-07-04,Managed
MAC-00178,MAC-BRS-00178,7578,6,12,C02LM53FBHN,iMac 24,macOS 15.5,2026-05-17,2026-07-05,Managed
MAC-00179,MAC-BRS-00179,2854,6,11,C02O9NEH6YD,MacBook Pro 16,macOS 15.5,2026-05-31,2026-07-04,Managed
MAC-00180,MAC-BRS-00180,7882,6,3,C02X5S5376L,MacBook Air 13,macOS 15.5,2026-06-19,2026-07-07,Managed
MAC-00181,MAC-SEA-00181,3723,5,9,C022F13T9YA,Mac mini,macOS 15.5,2026-01-17,2026-07-04,Managed
MAC-00182,MAC-EUW-00182,2256,4,10,C02YZJVD45C,iMac 24,macOS 15.4,2025-09-28,2026-05-15,Managed
MAC-00183,MAC-EUN-00183,795,3,5,C02R7C265SF,MacBook Pro 14,macOS 15.5,2025-11-18,2026-07-07,Needs Attention
MAC-00184,MAC-EUW-00184,13996,4,10,C02NDVHL80S,iMac 24,macOS 15.4,2026-03-04,2026-07-06,Managed
MAC-00185,MAC-USW-00185,4248,2,2,C02T97AVJVO,MacBook Air 13,macOS 13.7,2025-06-05,2026-07-06,Managed
MAC-00186,MAC-BRS-00186,4791,6,11,C02SOMG8VQR,MacBook Pro 16,macOS 15.5,2025-06-28,2026-07-07,Managed
MAC-00187,MAC-EUW-00187,6159,4,6,C02SJJUA2NP,Mac mini,macOS 15.4,2026-03-19,2026-05-19,Needs Attention
MAC-00188,MAC-EUN-00188,10154,3,1,C02LEDRS7IE,iMac 24,macOS 15.5,2026-05-31,2026-05-28,Managed
MAC-00189,MAC-BRS-00189,11505,6,11,C02HWO9THCJ,MacBook Pro 16,macOS 15.5,2025-07-09,2026-07-04,Managed
MAC-00190,MAC-EUW-00190,7010,4,3,C020RV0K1DY,iMac 24,macOS 15.4,2024-09-08,2026-07-07,Managed
MAC-00191,MAC-EUW-00191,1911,4,10,C02OJQ5FU6C,iMac 24,macOS 15.5,2025-04-04,2026-07-05,Managed
MAC-00192,MAC-USW-00192,8619,2,3,C02E3ST37T6,MacBook Pro 16,macOS 15.4,2025-08-01,2026-07-07,Managed
MAC-00193,MAC-EUW-00193,4140,4,2,C02K0WJEPU6,MacBook Pro 16,macOS 15.5,2026-01-31,2026-07-01,Managed
MAC-00194,MAC-EUN-00194,6613,3,4,C024RFEFOM0,MacBook Pro 14,macOS 14.7,2024-12-18,2026-06-29,Managed
MAC-00195,MAC-USW-00195,9990,2,8,C02799NIV29,Mac mini,macOS 15.5,2025-04-26,2026-07-06,Managed
MAC-00196,MAC-EUW-00196,12999,4,4,C024VD2AINB,iMac 24,macOS 14.7,2024-11-06,2026-07-04,Managed
MAC-00197,MAC-BRS-00197,12986,6,11,C02U83GV660,MacBook Pro 16,macOS 14.7,2024-08-16,2026-07-04,Managed
MAC-00198,MAC-SEA-00198,13213,5,11,C023DU0KQ6B,Mac mini,macOS 15.5,2025-10-16,2026-07-06,Managed
MAC-00199,MAC-USW-00199,9307,2,8,C02E1ATJQ0T,MacBook Pro 14,macOS 15.5,2025-10-04,2026-07-07,Managed
