DateKey,Date,RegionKey,IngressGB,EgressGB,NATGatewayGB,EstimatedNATCost
20260628,2026-06-28,1,545.59,1453.18,897.74,29.49
20260628,2026-06-28,2,358.0,1701.81,762.3,44.49
20260628,2026-06-28,3,324.74,1638.29,890.47,29.78
20260628,2026-06-28,4,656.74,2694.65,968.58,72.79
20260628,2026-06-28,5,454.57,1658.35,910.52,37.13
20260628,2026-06-28,6,448.43,1279.03,1125.78,41.97
20260629,2026-06-29,1,534.24,1397.24,855.41,72.83
20260629,2026-06-29,2,758.01,2574.9,1615.27,90.63
20260629,2026-06-29,3,803.71,1618.07,1935.38,76.37
20260629,2026-06-29,4,467.68,1577.01,924.68,31.2
20260629,2026-06-29,5,637.71,1519.02,889.34,62.05
20260629,2026-06-29,6,575.18,1311.29,514.92,51.28
20260630,2026-06-30,1,558.01,2417.75,904.87,47.35
20260630,2026-06-30,2,662.23,1877.54,1031.4,60.69
20260630,2026-06-30,3,303.22,1000.39,708.59,43.88
20260630,2026-06-30,4,432.92,2479.52,1499.6,56.44
20260630,2026-06-30,5,1001.84,2981.84,1514.58,88.37
20260630,2026-06-30,6,533.77,2197.7,788.09,46.74
20260701,2026-07-01,1,577.21,1115.64,870.79,67.15
20260701,2026-07-01,2,801.86,1316.99,928.26,36.11
20260701,2026-07-01,3,734.82,1320.32,812.79,55.27
20260701,2026-07-01,4,834.79,2098.87,961.71,93.09
20260701,2026-07-01,5,433.56,2263.91,879.69,61.21
20260701,2026-07-01,6,470.57,724.47,1023.7,45.91
20260702,2026-07-02,1,663.84,2011.57,1355.88,37.75
20260702,2026-07-02,2,464.21,1665.21,1059.42,70.28
20260702,2026-07-02,3,271.25,962.98,814.89,31.79
20260702,2026-07-02,4,247.92,780.47,853.29,20.74
20260702,2026-07-02,5,484.36,2431.78,1392.96,63.07
20260702,2026-07-02,6,527.07,1274.61,1067.41,55.65
20260703,2026-07-03,1,630.68,2411.27,1589.66,46.28
20260703,2026-07-03,2,474.95,1540.61,621.86,28.87
20260703,2026-07-03,3,635.61,1358.83,1880.34,67.64
20260703,2026-07-03,4,806.23,1605.63,882.8,69.41
20260703,2026-07-03,5,494.54,1093.69,1342.07,61.33
20260703,2026-07-03,6,721.04,1793.47,828.66,80.64
20260704,2026-07-04,1,539.92,1088.59,964.78,30.79
20260704,2026-07-04,2,519.7,3159.98,1453.29,82.51
20260704,2026-07-04,3,786.07,3185.47,1607.26,89.25
20260704,2026-07-04,4,344.18,1599.78,457.15,41.16
20260704,2026-07-04,5,622.52,2942.33,2054.83,43.76
20260704,2026-07-04,6,439.87,1827.02,1010.01,50.72
20260705,2026-07-05,1,569.12,2779.0,1537.53,34.26
20260705,2026-07-05,2,566.54,1509.36,587.33,55.03
20260705,2026-07-05,3,570.29,2252.15,1129.05,65.95
20260705,2026-07-05,4,771.02,1690.26,1156.86,37.8
20260705,2026-07-05,5,401.89,899.57,663.47,33.77
20260705,2026-07-05,6,371.15,1108.91,1153.08,29.62
20260706,2026-07-06,1,435.57,1453.87,825.99,23.54
20260706,2026-07-06,2,486.4,2123.74,780.7,32.79
20260706,2026-07-06,3,857.84,2627.46,1846.71,73.92
20260706,2026-07-06,4,258.69,952.03,922.36,24.87
20260706,2026-07-06,5,603.84,2247.19,1330.63,36.69
20260706,2026-07-06,6,436.05,2097.55,1095.63,42.33
20260707,2026-07-07,1,827.74,1968.31,1420.94,74.4
20260707,2026-07-07,2,479.7,1059.36,894.29,60.47
20260707,2026-07-07,3,603.44,1532.57,801.4,75.86
20260707,2026-07-07,4,686.65,2235.47,1333.3,63.27
20260707,2026-07-07,5,472.58,2000.27,928.89,24.18
20260707,2026-07-07,6,465.01,1434.9,814.43,44.33
