CloudPCID,CloudPCName,UserKey,RegionKey,BUKey,ProvisioningPolicy,LicenseSKU,Status,vCPU,MemoryGB,DiskGB,DiskType,OSVersion,IPAddress,AzureResourceGroup,ProvisionedDate,EnrolledDate,LastLoginDate,DaysSinceLastLogin,InactivityBucket
CPC-00028,CPC-BRS-00028,28,6,10,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.0.28,rg-w365-brs-10,2025-10-28,2025-10-30,2026-03-31,98,45+ Days
CPC-00029,CPC-EUW-00029,29,4,8,W365-EMEA-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.4.0.29,rg-w365-euw-08,2026-06-22,2026-06-22,2026-04-13,85,45+ Days
CPC-00030,CPC-USW-00030,30,2,1,W365-US-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 24H2,10.2.0.30,rg-w365-usw-01,2025-12-14,2025-12-14,2026-06-25,12,Active <15 Days
CPC-00031,CPC-SEA-00031,31,5,10,W365-APAC-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.5.0.31,rg-w365-sea-10,2025-07-12,2025-07-12,2026-07-05,2,Active <15 Days
CPC-00032,CPC-EUN-00032,32,3,8,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 23H2,10.3.0.32,rg-w365-eun-08,2026-03-17,2026-03-19,2026-07-06,1,Active <15 Days
CPC-00033,CPC-EUW-00033,33,4,8,W365-EMEA-West-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.4.0.33,rg-w365-euw-08,2026-03-04,2026-03-06,2026-07-07,0,Active <15 Days
CPC-00034,CPC-EUN-00034,34,3,12,W365-EMEA-North-Privileged,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 23H2,10.3.0.34,rg-w365-eun-12,2025-07-28,2025-07-29,2026-06-30,7,Active <15 Days
CPC-00035,CPC-USW-00035,35,2,12,W365-US-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.0.35,rg-w365-usw-12,2026-04-04,2026-04-04,2026-06-26,11,Active <15 Days
CPC-00036,CPC-EUN-00036,36,3,5,W365-EMEA-North-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.0.36,rg-w365-eun-05,2026-01-26,2026-01-26,2026-06-23,14,Active <15 Days
CPC-00037,CPC-USW-00037,37,2,10,W365-US-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.0.37,rg-w365-usw-10,2025-08-11,2025-08-11,2026-06-24,13,Active <15 Days
CPC-00038,CPC-EUW-00038,38,4,8,W365-EMEA-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.4.0.38,rg-w365-euw-08,2026-04-05,2026-04-05,2026-07-05,2,Active <15 Days
CPC-00039,CPC-SEA-00039,39,5,10,W365-APAC-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 23H2,10.5.0.39,rg-w365-sea-10,2026-03-30,2026-03-30,2026-06-27,10,Active <15 Days
CPC-00040,CPC-SEA-00040,40,5,10,W365-APAC-Privileged,W365 Enterprise 4vCPU/16GB/256GB,PendingProvisioning,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.5.0.40,rg-w365-sea-10,2025-06-16,2025-06-17,2026-06-21,16,15-45 Days
CPC-00041,CPC-USE-00041,41,1,8,W365-US-East-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.1.0.41,rg-w365-use-08,2025-11-11,2025-11-11,2026-06-28,9,Active <15 Days
CPC-00042,CPC-USE-00042,42,1,9,W365-US-East-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.42,rg-w365-use-09,2025-06-13,2025-06-14,2026-06-15,22,15-45 Days
CPC-00043,CPC-BRS-00043,43,6,2,W365-LATAM-SharedOps,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 23H2,10.6.0.43,rg-w365-brs-02,2025-12-22,2025-12-22,2026-07-07,0,Active <15 Days
CPC-00044,CPC-USW-00044,44,2,7,W365-US-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.0.44,rg-w365-usw-07,2025-12-04,2025-12-04,2026-06-27,10,Active <15 Days
CPC-00045,CPC-SEA-00045,45,5,3,W365-APAC-Privileged,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Premium SSD,Windows 11 Enterprise 24H2,10.5.0.45,rg-w365-sea-03,2026-06-10,2026-06-10,2026-06-13,24,15-45 Days
CPC-00046,CPC-EUW-00046,46,4,4,W365-EMEA-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.4.0.46,rg-w365-euw-04,2026-03-30,2026-04-01,2026-06-27,10,Active <15 Days
CPC-00047,CPC-EUN-00047,47,3,5,W365-EMEA-North-Privileged,W365 Enterprise 8vCPU/32GB/512GB,PendingProvisioning,8,32,512,Premium SSD,Windows 11 Enterprise 24H2,10.3.0.47,rg-w365-eun-05,2025-09-03,2025-09-03,2026-06-23,14,Active <15 Days
CPC-00048,CPC-USW-00048,48,2,9,W365-US-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.0.48,rg-w365-usw-09,2025-09-11,2025-09-12,2026-06-23,14,Active <15 Days
CPC-00049,CPC-BRS-00049,49,6,3,W365-LATAM-SharedOps,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.0.49,rg-w365-brs-03,2025-06-23,2025-06-24,2026-05-19,49,45+ Days
CPC-00050,CPC-BRS-00050,50,6,12,W365-LATAM-SharedOps,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.0.50,rg-w365-brs-12,2025-07-31,2025-07-31,2026-04-15,83,45+ Days
CPC-00051,CPC-BRS-00051,51,6,10,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.0.51,rg-w365-brs-10,2026-02-13,2026-02-14,2026-06-28,9,Active <15 Days
CPC-00052,CPC-SEA-00052,52,5,6,W365-APAC-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.5.0.52,rg-w365-sea-06,2025-10-20,2025-10-21,2026-06-26,11,Active <15 Days
CPC-00053,CPC-USE-00053,53,1,9,W365-US-East-Privileged,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Standard SSD,Windows 11 Enterprise 23H2,10.1.0.53,rg-w365-use-09,2025-11-23,2025-11-24,2026-06-26,11,Active <15 Days
CPC-00054,CPC-USE-00054,54,1,2,W365-US-East-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.54,rg-w365-use-02,2025-07-15,2025-07-15,2026-07-03,4,Active <15 Days
CPC-00055,CPC-SEA-00055,55,5,9,W365-APAC-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Ephemeral,Windows 11 Enterprise 23H2,10.5.0.55,rg-w365-sea-09,2025-11-05,2025-11-05,2026-06-25,12,Active <15 Days
CPC-00056,CPC-BRS-00056,56,6,9,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 23H2,10.6.0.56,rg-w365-brs-09,2026-01-05,2026-01-05,2026-07-06,1,Active <15 Days
CPC-00057,CPC-EUW-00057,57,4,9,W365-EMEA-West-Dev,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 23H2,10.4.0.57,rg-w365-euw-09,2025-11-02,2025-11-02,2026-06-28,9,Active <15 Days
CPC-00058,CPC-USW-00058,58,2,7,W365-US-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.0.58,rg-w365-usw-07,2025-08-10,2025-08-12,2026-06-27,10,Active <15 Days
CPC-00059,CPC-SEA-00059,59,5,12,W365-APAC-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.5.0.59,rg-w365-sea-12,2026-03-28,2026-03-29,2026-07-07,0,Active <15 Days
CPC-00060,CPC-SEA-00060,60,5,9,W365-APAC-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.5.0.60,rg-w365-sea-09,2025-09-02,2025-09-02,2026-06-25,12,Active <15 Days
CPC-00061,CPC-USE-00061,61,1,10,W365-US-East-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.1.0.61,rg-w365-use-10,2025-10-23,2025-10-23,2026-06-29,8,Active <15 Days
CPC-00062,CPC-USE-00062,62,1,11,W365-US-East-Privileged,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Standard SSD,Windows 11 Enterprise 23H2,10.1.0.62,rg-w365-use-11,2026-01-04,2026-01-05,2026-07-01,6,Active <15 Days
CPC-00063,CPC-EUN-00063,63,3,2,W365-EMEA-North-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Failed,4,16,128,Standard SSD,Windows 11 Enterprise 24H2,10.3.0.63,rg-w365-eun-02,2025-11-04,2025-11-05,2026-06-25,12,Active <15 Days
CPC-00064,CPC-USW-00064,64,2,10,W365-US-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.0.64,rg-w365-usw-10,2026-02-03,2026-02-04,2026-06-26,11,Active <15 Days
CPC-00065,CPC-EUN-00065,65,3,10,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.3.0.65,rg-w365-eun-10,2026-05-07,2026-05-08,2026-07-06,1,Active <15 Days
CPC-00066,CPC-USE-00066,66,1,6,W365-US-East-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.66,rg-w365-use-06,2026-01-17,2026-01-17,2026-06-18,19,15-45 Days
CPC-00067,CPC-USW-00067,67,2,12,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.0.67,rg-w365-usw-12,2025-07-17,2025-07-18,2026-06-25,12,Active <15 Days
CPC-00068,CPC-USE-00068,68,1,7,W365-US-East-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 23H2,10.1.0.68,rg-w365-use-07,2025-08-16,2025-08-16,2026-06-14,23,15-45 Days
CPC-00069,CPC-SEA-00069,69,5,7,W365-APAC-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 24H2,10.5.0.69,rg-w365-sea-07,2026-05-22,2026-05-24,2026-07-06,1,Active <15 Days
CPC-00070,CPC-SEA-00070,70,5,1,W365-APAC-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.5.0.70,rg-w365-sea-01,2026-03-12,2026-03-12,2026-06-29,8,Active <15 Days
CPC-00071,CPC-BRS-00071,71,6,10,W365-LATAM-SharedOps,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Standard SSD,Windows 11 Enterprise 24H2,10.6.0.71,rg-w365-brs-10,2025-08-26,2025-08-28,2026-07-03,4,Active <15 Days
CPC-00072,CPC-SEA-00072,72,5,6,W365-APAC-Privileged,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Premium SSD,Windows 11 Enterprise 23H2,10.5.0.72,rg-w365-sea-06,2026-04-03,2026-04-04,2026-07-06,1,Active <15 Days
CPC-00073,CPC-EUN-00073,73,3,9,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/128GB,Failed,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.0.73,rg-w365-eun-09,2025-12-19,2025-12-20,2026-06-30,7,Active <15 Days
CPC-00074,CPC-USE-00074,74,1,3,W365-US-East-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.74,rg-w365-use-03,2026-02-02,2026-02-04,2026-06-29,8,Active <15 Days
CPC-00075,CPC-EUW-00075,75,4,8,W365-EMEA-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 24H2,10.4.0.75,rg-w365-euw-08,2025-08-19,2025-08-21,2026-07-03,4,Active <15 Days
CPC-00076,CPC-SEA-00076,76,5,10,W365-APAC-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 23H2,10.5.0.76,rg-w365-sea-10,2026-02-06,2026-02-07,2026-06-29,8,Active <15 Days
CPC-00077,CPC-BRS-00077,77,6,11,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 10 Enterprise 22H2,10.6.0.77,rg-w365-brs-11,2025-11-24,2025-11-25,2026-07-07,0,Active <15 Days
CPC-00078,CPC-USW-00078,78,2,7,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.0.78,rg-w365-usw-07,2026-06-22,2026-06-23,2026-06-25,12,Active <15 Days
CPC-00079,CPC-USW-00079,79,2,12,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 10 Enterprise 22H2,10.2.0.79,rg-w365-usw-12,2026-02-20,2026-02-22,2026-07-05,2,Active <15 Days
CPC-00080,CPC-BRS-00080,80,6,5,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.6.0.80,rg-w365-brs-05,2025-11-22,2025-11-23,2026-04-09,89,45+ Days
CPC-00081,CPC-USE-00081,81,1,1,W365-US-East-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.1.0.81,rg-w365-use-01,2026-05-20,2026-05-20,2026-06-24,13,Active <15 Days
CPC-00082,CPC-SEA-00082,82,5,12,W365-APAC-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.5.0.82,rg-w365-sea-12,2025-07-01,2025-07-02,2026-07-04,3,Active <15 Days
CPC-00083,CPC-USE-00083,83,1,1,W365-US-East-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.83,rg-w365-use-01,2025-08-02,2025-08-03,2026-07-06,1,Active <15 Days
CPC-00084,CPC-EUN-00084,84,3,8,W365-EMEA-North-Privileged,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Premium SSD,Windows 11 Enterprise 24H2,10.3.0.84,rg-w365-eun-08,2026-02-21,2026-02-22,2026-07-03,4,Active <15 Days
CPC-00085,CPC-USW-00085,85,2,10,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 24H2,10.2.0.85,rg-w365-usw-10,2025-10-16,2025-10-16,2026-06-27,10,Active <15 Days
CPC-00086,CPC-USE-00086,86,1,12,W365-US-East-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.86,rg-w365-use-12,2026-04-24,2026-04-24,2026-06-29,8,Active <15 Days
CPC-00087,CPC-SEA-00087,87,5,8,W365-APAC-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 23H2,10.5.0.87,rg-w365-sea-08,2025-12-10,2025-12-12,2026-03-15,114,45+ Days
CPC-00088,CPC-USE-00088,88,1,4,W365-US-East-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.88,rg-w365-use-04,2025-11-15,2025-11-15,2026-07-04,3,Active <15 Days
CPC-00089,CPC-BRS-00089,89,6,8,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.6.0.89,rg-w365-brs-08,2025-12-17,2025-12-19,2026-05-15,53,45+ Days
CPC-00090,CPC-BRS-00090,90,6,7,W365-LATAM-SharedOps,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 23H2,10.6.0.90,rg-w365-brs-07,2025-12-30,2025-12-31,2026-07-01,6,Active <15 Days
CPC-00091,CPC-BRS-00091,91,6,4,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.0.91,rg-w365-brs-04,2026-02-19,2026-02-21,2026-06-28,9,Active <15 Days
CPC-00092,CPC-EUW-00092,92,4,11,W365-EMEA-West-Dev,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Standard SSD,Windows 11 Enterprise 24H2,10.4.0.92,rg-w365-euw-11,2026-01-06,2026-01-08,2026-07-05,2,Active <15 Days
CPC-00093,CPC-USW-00093,93,2,4,W365-US-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.0.93,rg-w365-usw-04,2026-06-05,2026-06-06,2026-07-04,3,Active <15 Days
CPC-00094,CPC-BRS-00094,94,6,4,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.0.94,rg-w365-brs-04,2025-06-06,2025-06-06,2026-06-30,7,Active <15 Days
CPC-00095,CPC-USE-00095,95,1,2,W365-US-East-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.95,rg-w365-use-02,2025-09-01,2025-09-01,2026-07-03,4,Active <15 Days
