CostMonth,BUKey,RegionKey,ServiceCategory,ConsumedUnits,UnitCost,MonthlyCost,Currency
2026-04-01,1,5,Mac Management,19,6.0168,114.32,USD
2026-04-01,1,6,Windows 365 License,207,75.2785,15582.65,USD
2026-04-01,1,6,Cloud PC Compute,207,19.6913,4076.09,USD
2026-04-01,1,6,Cloud PC Storage,207,8.0522,1666.81,USD
2026-04-01,1,6,NAT Gateway,2460,0.0438,107.72,USD
2026-04-01,1,6,Monitoring / Exoprise,207,2.1796,451.17,USD
2026-04-01,1,6,Mac Management,31,6.1726,191.35,USD
2026-04-01,2,1,Windows 365 License,180,68.6911,12364.39,USD
2026-04-01,2,1,Cloud PC Compute,180,21.7884,3921.91,USD
2026-04-01,2,1,Cloud PC Storage,180,7.9038,1422.69,USD
2026-04-01,2,1,NAT Gateway,1378,0.0442,60.92,USD
2026-04-01,2,1,Monitoring / Exoprise,180,2.194,394.92,USD
2026-04-01,2,1,Mac Management,21,5.7796,121.37,USD
2026-04-01,2,2,Windows 365 License,195,69.7702,13605.19,USD
2026-04-01,2,2,Cloud PC Compute,195,18.3335,3575.03,USD
2026-04-01,2,2,Cloud PC Storage,195,8.2497,1608.7,USD
2026-04-01,2,2,NAT Gateway,4479,0.0416,186.43,USD
2026-04-01,2,2,Monitoring / Exoprise,195,2.2288,434.62,USD
2026-04-01,2,2,Mac Management,29,5.7706,167.35,USD
2026-04-01,2,3,Windows 365 License,198,75.8615,15020.58,USD
2026-04-01,2,3,Cloud PC Compute,198,18.7892,3720.27,USD
2026-04-01,2,3,Cloud PC Storage,198,7.6618,1517.03,USD
2026-04-01,2,3,NAT Gateway,2272,0.041,93.2,USD
2026-04-01,2,3,Monitoring / Exoprise,198,2.2604,447.57,USD
2026-04-01,2,3,Mac Management,17,5.7318,97.44,USD
2026-04-01,2,4,Windows 365 License,190,71.6436,13612.28,USD
2026-04-01,2,4,Cloud PC Compute,190,19.0805,3625.3,USD
2026-04-01,2,4,Cloud PC Storage,190,7.9436,1509.29,USD
2026-04-01,2,4,NAT Gateway,4218,0.0404,170.29,USD
2026-04-01,2,4,Monitoring / Exoprise,190,2.3233,441.43,USD
2026-04-01,2,4,Mac Management,28,6.2822,175.9,USD
2026-04-01,2,5,Windows 365 License,200,70.4735,14094.71,USD
2026-04-01,2,5,Cloud PC Compute,200,18.3066,3661.32,USD
2026-04-01,2,5,Cloud PC Storage,200,6.8305,1366.09,USD
2026-04-01,2,5,NAT Gateway,6969,0.0449,312.86,USD
2026-04-01,2,5,Monitoring / Exoprise,200,2.2532,450.65,USD
2026-04-01,2,5,Mac Management,29,6.0227,174.66,USD
2026-04-01,2,6,Windows 365 License,176,70.1981,12354.86,USD
2026-04-01,2,6,Cloud PC Compute,176,21.062,3706.91,USD
2026-04-01,2,6,Cloud PC Storage,176,7.5234,1324.11,USD
2026-04-01,2,6,NAT Gateway,2636,0.0451,118.95,USD
2026-04-01,2,6,Monitoring / Exoprise,176,2.2823,401.68,USD
2026-04-01,2,6,Mac Management,13,5.754,74.8,USD
2026-04-01,3,1,Windows 365 License,198,74.5061,14752.21,USD
2026-04-01,3,1,Cloud PC Compute,198,18.4659,3656.25,USD
2026-04-01,3,1,Cloud PC Storage,198,8.1952,1622.64,USD
2026-04-01,3,1,NAT Gateway,1356,0.048,65.08,USD
2026-04-01,3,1,Monitoring / Exoprise,198,2.1845,432.53,USD
2026-04-01,3,1,Mac Management,31,5.9513,184.49,USD
2026-04-01,3,2,Windows 365 License,207,73.7949,15275.55,USD
2026-04-01,3,2,Cloud PC Compute,207,19.2786,3990.66,USD
2026-04-01,3,2,Cloud PC Storage,207,7.9054,1636.41,USD
2026-04-01,3,2,NAT Gateway,5276,0.044,232.07,USD
2026-04-01,3,2,Monitoring / Exoprise,207,2.3543,487.35,USD
2026-04-01,3,2,Mac Management,19,5.8429,111.02,USD
2026-04-01,3,3,Windows 365 License,200,70.0575,14011.51,USD
2026-04-01,3,3,Cloud PC Compute,200,21.9369,4387.37,USD
2026-04-01,3,3,Cloud PC Storage,200,7.4908,1498.16,USD
2026-04-01,3,3,NAT Gateway,4679,0.0409,191.58,USD
2026-04-01,3,3,Monitoring / Exoprise,200,2.2701,454.02,USD
2026-04-01,3,3,Mac Management,20,6.0769,121.54,USD
2026-04-01,3,4,Windows 365 License,177,67.8172,12003.64,USD
2026-04-01,3,4,Cloud PC Compute,177,21.7349,3847.08,USD
2026-04-01,3,4,Cloud PC Storage,177,8.1354,1439.97,USD
2026-04-01,3,4,NAT Gateway,1047,0.0457,47.85,USD
2026-04-01,3,4,Monitoring / Exoprise,177,2.1463,379.9,USD
2026-04-01,3,4,Mac Management,25,6.0287,150.72,USD
2026-04-01,3,5,Windows 365 License,198,73.9753,14647.11,USD
2026-04-01,3,5,Cloud PC Compute,198,21.2197,4201.49,USD
2026-04-01,3,5,Cloud PC Storage,198,7.8345,1551.23,USD
2026-04-01,3,5,NAT Gateway,1313,0.0455,59.75,USD
2026-04-01,3,5,Monitoring / Exoprise,198,2.3397,463.26,USD
2026-04-01,3,5,Mac Management,25,5.8589,146.47,USD
2026-04-01,3,6,Windows 365 License,196,75.0423,14708.29,USD
2026-04-01,3,6,Cloud PC Compute,196,19.6628,3853.91,USD
2026-04-01,3,6,Cloud PC Storage,196,7.4327,1456.8,USD
2026-04-01,3,6,NAT Gateway,6203,0.0416,257.8,USD
2026-04-01,3,6,Monitoring / Exoprise,196,2.341,458.83,USD
2026-04-01,3,6,Mac Management,25,5.8667,146.67,USD
2026-04-01,4,1,Windows 365 License,174,75.4391,13126.4,USD
2026-04-01,4,1,Cloud PC Compute,174,19.7211,3431.48,USD
2026-04-01,4,1,Cloud PC Storage,174,7.4934,1303.85,USD
2026-04-01,4,1,NAT Gateway,6650,0.0405,269.62,USD
2026-04-01,4,1,Monitoring / Exoprise,174,2.1897,381.01,USD
2026-04-01,4,1,Mac Management,18,5.9069,106.32,USD
2026-04-01,4,2,Windows 365 License,184,70.3214,12939.13,USD
2026-04-01,4,2,Cloud PC Compute,184,20.5949,3789.45,USD
2026-04-01,4,2,Cloud PC Storage,184,7.0314,1293.78,USD
2026-04-01,4,2,NAT Gateway,3922,0.0468,183.74,USD
2026-04-01,4,2,Monitoring / Exoprise,184,2.2653,416.81,USD
2026-04-01,4,2,Mac Management,25,6.1948,154.87,USD
2026-04-01,4,3,Windows 365 License,188,73.3452,13788.9,USD
2026-04-01,4,3,Cloud PC Compute,188,21.3296,4009.96,USD
2026-04-01,4,3,Cloud PC Storage,188,7.5767,1424.43,USD
2026-04-01,4,3,NAT Gateway,1488,0.0417,62.07,USD
2026-04-01,4,3,Monitoring / Exoprise,188,2.186,410.96,USD
2026-04-01,4,3,Mac Management,25,6.2556,156.39,USD
2026-04-01,4,4,Windows 365 License,203,70.3666,14284.42,USD
2026-04-01,4,4,Cloud PC Compute,203,18.3205,3719.06,USD
2026-04-01,4,4,Cloud PC Storage,203,6.7801,1376.37,USD
2026-04-01,4,4,NAT Gateway,6038,0.0471,284.38,USD
2026-04-01,4,4,Monitoring / Exoprise,203,2.1621,438.91,USD
2026-04-01,4,4,Mac Management,19,5.8105,110.4,USD
2026-04-01,4,5,Windows 365 License,194,70.1801,13614.94,USD
2026-04-01,4,5,Cloud PC Compute,194,19.0928,3704.01,USD
2026-04-01,4,5,Cloud PC Storage,194,7.113,1379.92,USD
2026-04-01,4,5,NAT Gateway,4476,0.0451,201.67,USD
2026-04-01,4,5,Monitoring / Exoprise,194,2.1891,424.68,USD
2026-04-01,4,5,Mac Management,11,6.0249,66.27,USD
2026-04-01,4,6,Windows 365 License,185,69.4295,12844.46,USD
2026-04-01,4,6,Cloud PC Compute,185,21.4751,3972.9,USD
2026-04-01,4,6,Cloud PC Storage,185,7.3703,1363.5,USD
2026-04-01,4,6,NAT Gateway,841,0.0412,34.65,USD
2026-04-01,4,6,Monitoring / Exoprise,185,2.2418,414.73,USD
2026-04-01,4,6,Mac Management,25,5.9628,149.07,USD
2026-04-01,5,1,Windows 365 License,167,72.2714,12069.32,USD
2026-04-01,5,1,Cloud PC Compute,167,20.5936,3439.13,USD
2026-04-01,5,1,Cloud PC Storage,167,7.3496,1227.38,USD
2026-04-01,5,1,NAT Gateway,3966,0.0417,165.41,USD
2026-04-01,5,1,Monitoring / Exoprise,167,2.2467,375.2,USD
2026-04-01,5,1,Mac Management,21,6.1099,128.31,USD
2026-04-01,5,2,Windows 365 License,200,72.2763,14455.26,USD
2026-04-01,5,2,Cloud PC Compute,200,20.9712,4194.23,USD
2026-04-01,5,2,Cloud PC Storage,200,7.0695,1413.91,USD
2026-04-01,5,2,NAT Gateway,5826,0.0469,273.34,USD
2026-04-01,5,2,Monitoring / Exoprise,200,2.2372,447.44,USD
2026-04-01,5,2,Mac Management,21,5.9918,125.83,USD
2026-04-01,5,3,Windows 365 License,214,73.4354,15715.18,USD
2026-04-01,5,3,Cloud PC Compute,214,18.8487,4033.63,USD
2026-04-01,5,3,Cloud PC Storage,214,7.6737,1642.17,USD
2026-04-01,5,3,NAT Gateway,3080,0.0456,140.5,USD
2026-04-01,5,3,Monitoring / Exoprise,214,2.2324,477.72,USD
2026-04-01,5,3,Mac Management,30,6.0343,181.03,USD
2026-04-01,5,4,Windows 365 License,188,73.3078,13781.86,USD
2026-04-01,5,4,Cloud PC Compute,188,20.8365,3917.26,USD
2026-04-01,5,4,Cloud PC Storage,188,7.883,1482.01,USD
2026-04-01,5,4,NAT Gateway,3549,0.0423,150.09,USD
2026-04-01,5,4,Monitoring / Exoprise,188,2.256,424.14,USD
2026-04-01,5,4,Mac Management,23,6.1712,141.94,USD
2026-04-01,5,5,Windows 365 License,198,69.2252,13706.59,USD
2026-04-01,5,5,Cloud PC Compute,198,18.1343,3590.58,USD
2026-04-01,5,5,Cloud PC Storage,198,7.3685,1458.96,USD
2026-04-01,5,5,NAT Gateway,3556,0.0497,176.91,USD
2026-04-01,5,5,Monitoring / Exoprise,198,2.2878,452.98,USD
2026-04-01,5,5,Mac Management,14,5.9845,83.78,USD
2026-04-01,5,6,Windows 365 License,186,74.6747,13889.49,USD
2026-04-01,5,6,Cloud PC Compute,186,18.9208,3519.27,USD
2026-04-01,5,6,Cloud PC Storage,186,8.2264,1530.11,USD
2026-04-01,5,6,NAT Gateway,2474,0.0443,109.71,USD
2026-04-01,5,6,Monitoring / Exoprise,186,2.2207,413.04,USD
2026-04-01,5,6,Mac Management,20,6.1055,122.11,USD
2026-04-01,6,1,Windows 365 License,197,75.798,14932.2,USD
2026-04-01,6,1,Cloud PC Compute,197,18.5878,3661.79,USD
2026-04-01,6,1,Cloud PC Storage,197,7.2188,1422.1,USD
2026-04-01,6,1,NAT Gateway,5269,0.0432,227.59,USD
2026-04-01,6,1,Monitoring / Exoprise,197,2.2621,445.64,USD
2026-04-01,6,1,Mac Management,20,5.7842,115.68,USD
2026-04-01,6,2,Windows 365 License,196,72.263,14163.56,USD
2026-04-01,6,2,Cloud PC Compute,196,21.2663,4168.19,USD
2026-04-01,6,2,Cloud PC Storage,196,8.0661,1580.96,USD
2026-04-01,6,2,NAT Gateway,5976,0.0451,269.7,USD
2026-04-01,6,2,Monitoring / Exoprise,196,2.1528,421.95,USD
2026-04-01,6,2,Mac Management,16,6.152,98.43,USD
2026-04-01,6,3,Windows 365 License,193,73.311,14149.03,USD
2026-04-01,6,3,Cloud PC Compute,193,21.1942,4090.48,USD
2026-04-01,6,3,Cloud PC Storage,193,6.9633,1343.92,USD
2026-04-01,6,3,NAT Gateway,1203,0.0475,57.15,USD
2026-04-01,6,3,Monitoring / Exoprise,193,2.3487,453.3,USD
2026-04-01,6,3,Mac Management,13,5.7819,75.16,USD
2026-04-01,6,4,Windows 365 License,176,74.3805,13090.97,USD
2026-04-01,6,4,Cloud PC Compute,176,21.9686,3866.48,USD
2026-04-01,6,4,Cloud PC Storage,176,8.209,1444.78,USD
2026-04-01,6,4,NAT Gateway,2598,0.0432,112.12,USD
2026-04-01,6,4,Monitoring / Exoprise,176,2.1458,377.66,USD
2026-04-01,6,4,Mac Management,16,5.7985,92.78,USD
2026-04-01,6,5,Windows 365 License,202,76.0192,15355.87,USD
2026-04-01,6,5,Cloud PC Compute,202,21.7676,4397.05,USD
2026-04-01,6,5,Cloud PC Storage,202,7.9535,1606.61,USD
2026-04-01,6,5,NAT Gateway,5842,0.0458,267.43,USD
2026-04-01,6,5,Monitoring / Exoprise,202,2.2932,463.24,USD
2026-04-01,6,5,Mac Management,15,5.9056,88.58,USD
2026-04-01,6,6,Windows 365 License,185,68.0448,12588.29,USD
2026-04-01,6,6,Cloud PC Compute,185,18.2913,3383.89,USD
2026-04-01,6,6,Cloud PC Storage,185,8.1163,1501.51,USD
2026-04-01,6,6,NAT Gateway,2914,0.0461,134.44,USD
2026-04-01,6,6,Monitoring / Exoprise,185,2.3052,426.47,USD
2026-04-01,6,6,Mac Management,21,6.2062,130.33,USD
2026-04-01,7,1,Windows 365 License,193,69.9534,13501.0,USD
2026-04-01,7,1,Cloud PC Compute,193,21.9242,4231.36,USD
2026-04-01,7,1,Cloud PC Storage,193,6.9851,1348.12,USD
2026-04-01,7,1,NAT Gateway,2287,0.0504,115.24,USD
2026-04-01,7,1,Monitoring / Exoprise,193,2.3209,447.93,USD
2026-04-01,7,1,Mac Management,19,6.0824,115.57,USD
2026-04-01,7,2,Windows 365 License,193,68.9208,13301.71,USD
2026-04-01,7,2,Cloud PC Compute,193,19.2109,3707.7,USD
2026-04-01,7,2,Cloud PC Storage,193,7.3591,1420.3,USD
2026-04-01,7,2,NAT Gateway,2312,0.0418,96.62,USD
2026-04-01,7,2,Monitoring / Exoprise,193,2.1909,422.85,USD
2026-04-01,7,2,Mac Management,22,6.0342,132.75,USD
2026-04-01,7,3,Windows 365 License,186,75.9237,14121.8,USD
2026-04-01,7,3,Cloud PC Compute,186,18.8369,3503.66,USD
2026-04-01,7,3,Cloud PC Storage,186,7.4404,1383.91,USD
2026-04-01,7,3,NAT Gateway,2052,0.0407,83.46,USD
2026-04-01,7,3,Monitoring / Exoprise,186,2.1775,405.02,USD
2026-04-01,7,3,Mac Management,20,5.7656,115.31,USD
2026-04-01,7,4,Windows 365 License,196,67.7469,13278.4,USD
2026-04-01,7,4,Cloud PC Compute,196,21.8897,4290.39,USD
2026-04-01,7,4,Cloud PC Storage,196,7.2217,1415.46,USD
2026-04-01,7,4,NAT Gateway,3566,0.0493,175.7,USD
2026-04-01,7,4,Monitoring / Exoprise,196,2.2653,443.99,USD
2026-04-01,7,4,Mac Management,19,5.8431,111.02,USD
2026-04-01,7,5,Windows 365 License,165,71.4071,11782.18,USD
2026-04-01,7,5,Cloud PC Compute,165,21.5277,3552.06,USD
2026-04-01,7,5,Cloud PC Storage,165,7.7211,1273.97,USD
2026-04-01,7,5,NAT Gateway,1256,0.0409,51.37,USD
2026-04-01,7,5,Monitoring / Exoprise,165,2.3011,379.68,USD
2026-04-01,7,5,Mac Management,16,5.7191,91.51,USD
2026-04-01,7,6,Windows 365 License,195,72.0526,14050.25,USD
2026-04-01,7,6,Cloud PC Compute,195,19.4205,3787.01,USD
2026-04-01,7,6,Cloud PC Storage,195,7.6474,1491.24,USD
2026-04-01,7,6,NAT Gateway,6597,0.0432,285.02,USD
2026-04-01,7,6,Monitoring / Exoprise,195,2.1589,420.99,USD
2026-04-01,7,6,Mac Management,23,5.851,134.57,USD
2026-04-01,8,1,Windows 365 License,198,75.0819,14866.22,USD
2026-04-01,8,1,Cloud PC Compute,198,19.3212,3825.61,USD
2026-04-01,8,1,Cloud PC Storage,198,6.9874,1383.5,USD
2026-04-01,8,1,NAT Gateway,2383,0.0461,109.81,USD
2026-04-01,8,1,Monitoring / Exoprise,198,2.3536,466.01,USD
2026-04-01,8,1,Mac Management,18,5.9896,107.81,USD
2026-04-01,8,2,Windows 365 License,216,72.4113,15640.85,USD
2026-04-01,8,2,Cloud PC Compute,216,19.988,4317.42,USD
2026-04-01,8,2,Cloud PC Storage,216,6.7721,1462.78,USD
2026-04-01,8,2,NAT Gateway,6244,0.0432,269.56,USD
2026-04-01,8,2,Monitoring / Exoprise,216,2.2308,481.85,USD
2026-04-01,8,2,Mac Management,23,6.1419,141.26,USD
2026-04-01,8,3,Windows 365 License,187,67.9655,12709.55,USD
2026-04-01,8,3,Cloud PC Compute,187,21.2966,3982.47,USD
2026-04-01,8,3,Cloud PC Storage,187,7.2279,1351.61,USD
2026-04-01,8,3,NAT Gateway,3958,0.0454,179.88,USD
2026-04-01,8,3,Monitoring / Exoprise,187,2.3306,435.83,USD
2026-04-01,8,3,Mac Management,24,6.2545,150.11,USD
2026-04-01,8,4,Windows 365 License,212,72.826,15439.11,USD
2026-04-01,8,4,Cloud PC Compute,212,18.7243,3969.56,USD
2026-04-01,8,4,Cloud PC Storage,212,7.8033,1654.3,USD
2026-04-01,8,4,NAT Gateway,6469,0.0486,314.4,USD
2026-04-01,8,4,Monitoring / Exoprise,212,2.1687,459.76,USD
2026-04-01,8,4,Mac Management,20,5.7052,114.1,USD
2026-04-01,8,5,Windows 365 License,189,73.6551,13920.81,USD
2026-04-01,8,5,Cloud PC Compute,189,20.0056,3781.06,USD
2026-04-01,8,5,Cloud PC Storage,189,7.2392,1368.22,USD
2026-04-01,8,5,NAT Gateway,6871,0.0491,337.17,USD
2026-04-01,8,5,Monitoring / Exoprise,189,2.1796,411.95,USD
2026-04-01,8,5,Mac Management,26,5.7763,150.18,USD
2026-04-01,8,6,Windows 365 License,175,69.021,12078.68,USD
2026-04-01,8,6,Cloud PC Compute,175,19.9992,3499.86,USD
2026-04-01,8,6,Cloud PC Storage,175,7.7001,1347.52,USD
2026-04-01,8,6,NAT Gateway,3231,0.0401,129.62,USD
2026-04-01,8,6,Monitoring / Exoprise,175,2.2554,394.69,USD
2026-04-01,8,6,Mac Management,16,5.8048,92.88,USD
2026-04-01,9,1,Windows 365 License,194,74.7717,14505.71,USD
2026-04-01,9,1,Cloud PC Compute,194,19.5443,3791.6,USD
2026-04-01,9,1,Cloud PC Storage,194,7.3044,1417.05,USD
2026-04-01,9,1,NAT Gateway,5511,0.0418,230.45,USD
2026-04-01,9,1,Monitoring / Exoprise,194,2.2585,438.15,USD
2026-04-01,9,1,Mac Management,23,6.2998,144.9,USD
2026-04-01,9,2,Windows 365 License,200,75.3208,15064.16,USD
2026-04-01,9,2,Cloud PC Compute,200,19.6539,3930.77,USD
2026-04-01,9,2,Cloud PC Storage,200,7.0339,1406.77,USD
2026-04-01,9,2,NAT Gateway,4910,0.0461,226.41,USD
2026-04-01,9,2,Monitoring / Exoprise,200,2.1581,431.62,USD
2026-04-01,9,2,Mac Management,20,5.8649,117.3,USD
2026-04-01,9,3,Windows 365 License,206,68.8747,14188.19,USD
2026-04-01,9,3,Cloud PC Compute,206,19.8477,4088.62,USD
2026-04-01,9,3,Cloud PC Storage,206,7.7564,1597.83,USD
2026-04-01,9,3,NAT Gateway,4769,0.0504,240.13,USD
2026-04-01,9,3,Monitoring / Exoprise,206,2.3491,483.91,USD
2026-04-01,9,3,Mac Management,19,5.8078,110.35,USD
2026-04-01,9,4,Windows 365 License,194,69.2305,13430.72,USD
2026-04-01,9,4,Cloud PC Compute,194,20.7603,4027.49,USD
2026-04-01,9,4,Cloud PC Storage,194,7.4154,1438.58,USD
2026-04-01,9,4,NAT Gateway,3235,0.0438,141.55,USD
2026-04-01,9,4,Monitoring / Exoprise,194,2.1996,426.73,USD
2026-04-01,9,4,Mac Management,20,6.0557,121.11,USD
2026-04-01,9,5,Windows 365 License,201,72.4545,14563.34,USD
2026-04-01,9,5,Cloud PC Compute,201,19.7759,3974.95,USD
2026-04-01,9,5,Cloud PC Storage,201,7.8592,1579.69,USD
2026-04-01,9,5,NAT Gateway,4591,0.044,201.94,USD
2026-04-01,9,5,Monitoring / Exoprise,201,2.3317,468.66,USD
2026-04-01,9,5,Mac Management,18,6.0364,108.66,USD
2026-04-01,9,6,Windows 365 License,208,75.5838,15721.44,USD
2026-04-01,9,6,Cloud PC Compute,208,20.9918,4366.3,USD
2026-04-01,9,6,Cloud PC Storage,208,7.5068,1561.41,USD
2026-04-01,9,6,NAT Gateway,2549,0.0489,124.69,USD
2026-04-01,9,6,Monitoring / Exoprise,208,2.1414,445.41,USD
2026-04-01,9,6,Mac Management,18,6.2561,112.61,USD
2026-04-01,10,1,Windows 365 License,195,68.637,13384.21,USD
2026-04-01,10,1,Cloud PC Compute,195,21.689,4229.35,USD
2026-04-01,10,1,Cloud PC Storage,195,7.5409,1470.47,USD
2026-04-01,10,1,NAT Gateway,5109,0.0469,239.82,USD
2026-04-01,10,1,Monitoring / Exoprise,195,2.267,442.07,USD
2026-04-01,10,1,Mac Management,28,6.1981,173.55,USD
2026-04-01,10,2,Windows 365 License,186,74.8052,13913.76,USD
2026-04-01,10,2,Cloud PC Compute,186,20.9476,3896.25,USD
2026-04-01,10,2,Cloud PC Storage,186,7.953,1479.27,USD
2026-04-01,10,2,NAT Gateway,1174,0.0421,49.45,USD
2026-04-01,10,2,Monitoring / Exoprise,186,2.314,430.41,USD
2026-04-01,10,2,Mac Management,20,6.0987,121.97,USD
2026-04-01,10,3,Windows 365 License,208,71.2096,14811.6,USD
2026-04-01,10,3,Cloud PC Compute,208,21.9911,4574.14,USD
2026-04-01,10,3,Cloud PC Storage,208,7.5346,1567.2,USD
2026-04-01,10,3,NAT Gateway,5812,0.0398,231.58,USD
2026-04-01,10,3,Monitoring / Exoprise,208,2.2601,470.09,USD
2026-04-01,10,3,Mac Management,17,6.1588,104.7,USD
2026-04-01,10,4,Windows 365 License,203,70.6663,14345.27,USD
2026-04-01,10,4,Cloud PC Compute,203,19.922,4044.16,USD
2026-04-01,10,4,Cloud PC Storage,203,8.1172,1647.78,USD
2026-04-01,10,4,NAT Gateway,2911,0.0477,138.91,USD
2026-04-01,10,4,Monitoring / Exoprise,203,2.2529,457.33,USD
2026-04-01,10,4,Mac Management,28,6.1361,171.81,USD
2026-04-01,10,5,Windows 365 License,213,73.2901,15610.8,USD
2026-04-01,10,5,Cloud PC Compute,213,18.5099,3942.6,USD
2026-04-01,10,5,Cloud PC Storage,213,7.1629,1525.7,USD
2026-04-01,10,5,NAT Gateway,2942,0.0405,119.17,USD
2026-04-01,10,5,Monitoring / Exoprise,213,2.2035,469.33,USD
2026-04-01,10,5,Mac Management,20,6.1282,122.56,USD
2026-04-01,10,6,Windows 365 License,219,73.7362,16148.23,USD
2026-04-01,10,6,Cloud PC Compute,219,18.9551,4151.17,USD
2026-04-01,10,6,Cloud PC Storage,219,6.8975,1510.55,USD
2026-04-01,10,6,NAT Gateway,1562,0.0461,72.08,USD
2026-04-01,10,6,Monitoring / Exoprise,219,2.3363,511.66,USD
2026-04-01,10,6,Mac Management,18,6.1942,111.5,USD
2026-04-01,11,1,Windows 365 License,187,75.0497,14034.29,USD
2026-04-01,11,1,Cloud PC Compute,187,18.8361,3522.35,USD
2026-04-01,11,1,Cloud PC Storage,187,7.7609,1451.3,USD
2026-04-01,11,1,NAT Gateway,1041,0.049,50.97,USD
2026-04-01,11,1,Monitoring / Exoprise,187,2.3163,433.15,USD
2026-04-01,11,1,Mac Management,18,5.8154,104.68,USD
2026-04-01,11,2,Windows 365 License,201,70.2128,14112.77,USD
2026-04-01,11,2,Cloud PC Compute,201,21.2252,4266.26,USD
2026-04-01,11,2,Cloud PC Storage,201,7.2241,1452.05,USD
2026-04-01,11,2,NAT Gateway,5592,0.0492,275.39,USD
2026-04-01,11,2,Monitoring / Exoprise,201,2.2644,455.14,USD
2026-04-01,11,2,Mac Management,25,6.2156,155.39,USD
2026-04-01,11,3,Windows 365 License,206,74.3117,15308.21,USD
2026-04-01,11,3,Cloud PC Compute,206,19.8379,4086.6,USD
2026-04-01,11,3,Cloud PC Storage,206,7.0231,1446.75,USD
2026-04-01,11,3,NAT Gateway,3946,0.0431,170.01,USD
2026-04-01,11,3,Monitoring / Exoprise,206,2.2631,466.2,USD
2026-04-01,11,3,Mac Management,23,5.8243,133.96,USD
2026-04-01,11,4,Windows 365 License,192,72.945,14005.43,USD
2026-04-01,11,4,Cloud PC Compute,192,19.0714,3661.71,USD
2026-04-01,11,4,Cloud PC Storage,192,7.6173,1462.53,USD
2026-04-01,11,4,NAT Gateway,1209,0.0434,52.49,USD
2026-04-01,11,4,Monitoring / Exoprise,192,2.2064,423.62,USD
2026-04-01,11,4,Mac Management,18,5.7857,104.14,USD
2026-04-01,11,5,Windows 365 License,209,71.7662,14999.13,USD
2026-04-01,11,5,Cloud PC Compute,209,19.2589,4025.1,USD
2026-04-01,11,5,Cloud PC Storage,209,7.1354,1491.3,USD
2026-04-01,11,5,NAT Gateway,1178,0.0427,50.31,USD
2026-04-01,11,5,Monitoring / Exoprise,209,2.2466,469.54,USD
2026-04-01,11,5,Mac Management,20,5.7487,114.97,USD
2026-04-01,11,6,Windows 365 License,185,69.7374,12901.42,USD
2026-04-01,11,6,Cloud PC Compute,185,21.9305,4057.13,USD
2026-04-01,11,6,Cloud PC Storage,185,7.7849,1440.21,USD
2026-04-01,11,6,NAT Gateway,3549,0.0453,160.65,USD
2026-04-01,11,6,Monitoring / Exoprise,185,2.2027,407.5,USD
2026-04-01,11,6,Mac Management,21,6.2356,130.95,USD
2026-04-01,12,1,Windows 365 License,206,71.9984,14831.67,USD
2026-04-01,12,1,Cloud PC Compute,206,19.7002,4058.24,USD
2026-04-01,12,1,Cloud PC Storage,206,7.8842,1624.16,USD
2026-04-01,12,1,NAT Gateway,1002,0.0428,42.87,USD
2026-04-01,12,1,Monitoring / Exoprise,206,2.1944,452.05,USD
